player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,team,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href,season
7,Rachael Ade,D,0,1,1,0,2,0,1,0,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/728501,728501,420370,,,,,,,2022
18,Rebecca Russo,F,0,1,1,0,1,4,0,0,0,0 - 0,0,0,0,4,0,0,0,Metropolitan Riveters,stats#/player/644558,644558,420370,,,,,,,2022
5,Leila Kilduff,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Metropolitan Riveters,stats#/player/456621,456621,420370,,,,,,,2022
6,Nora Maclaine,F,0,0,0,2,0,1,0,0,0,5 - 7,0.417,0,0,1,0,5,7,Metropolitan Riveters,stats#/player/828793,828793,420370,,,,,,,2022
14,Madison Packer,F,0,0,0,0,0,3,0,6,1,0 - 1,0,0,0,3,0,0,1,Metropolitan Riveters,stats#/player/966106,966106,420370,,,,,,,2022
16,Brooke Avery,F,0,0,0,0,0,2,0,1,1,0 - 0,0,0,0,3,1,0,0,Metropolitan Riveters,stats#/player/431648,431648,420370,,,,,,,2022
19,Romana Kosecka,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/980281,980281,420370,,,,,,,2022
20,Mallory Rushton,F,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Metropolitan Riveters,stats#/player/431656,431656,420370,,,,,,,2022
21,Haley Frade,F,0,0,0,2,0,0,0,0,2,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/529481,529481,420370,,,,,,,2022
24,Kristen Barbara,D,0,0,0,2,0,3,2,1,0,0 - 0,0,0,0,3,0,0,0,Metropolitan Riveters,stats#/player/542417,542417,420370,,,,,,,2022
25,Rose Alleva,D,0,0,0,0,0,0,1,0,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/456613,456613,420370,,,,,,,2022
55,Lenka Curmova,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,3,2,0,0,Metropolitan Riveters,stats#/player/980280,980280,420370,,,,,,,2022
77,Colleen Murphy,D,0,0,0,2,2,1,1,1,1,0 - 0,0,0,0,2,1,0,0,Metropolitan Riveters,stats#/player/967617,967617,420370,,,,,,,2022
33,Victoria Hanson,G,0,0,,0,,,,,,,,,,,,,,Boston Pride,,431611,420370,40:00,18,1,17,0.944,stats#/player/431611,2022
35,Lovisa Selander,G,0,0,,0,,,,,,,,,,,,,,Boston Pride,,431620,420370,20:00,16,3,13,0.813,stats#/player/431620,2022
1,Brooke Wolejko,G,0,0,,0,,,,,,,,,,,,,,Metropolitan Riveters,,456412,420370,60:00,41,3,38,0.927,stats#/player/456412,2022
29,Sonjia Shelly,G,0,0,,0,,,,,,,,,,,,,,Metropolitan Riveters,,456411,420370,00:00,0,0,0,0,stats#/player/456411,2022
9,Autumn MacDougall,F,1,0,1,0,0,3,0,1,0,1 - 0,1,0,0,4,1,1,0,Buffalo Beauts,stats#/player/632861,632861,420369,,,,,,,2022
77,Kennedy Ganser,F,0,1,1,2,0,1,0,0,0,10 - 13,0.435,0,0,2,1,10,13,Buffalo Beauts,stats#/player/816614,816614,420369,,,,,,,2022
95,Taylor Accursi,F,0,1,1,0,-4,1,0,0,0,0 - 1,0,0,0,2,1,0,1,Buffalo Beauts,stats#/player/455139,455139,420369,,,,,,,2022
2,Samantha Fieseler,D,0,0,0,0,0,1,0,1,0,0 - 0,0,0,0,1,0,0,0,Buffalo Beauts,stats#/player/814845,814845,420369,,,,,,,2022
4,Marie-Jo Pelletier,D,0,0,0,0,-2,2,1,0,0,0 - 0,0,0,0,5,3,0,0,Buffalo Beauts,stats#/player/431633,431633,420369,,,,,,,2022
13,Dominique Kremer,D,0,0,0,4,0,2,0,0,0,0 - 0,0,0,0,3,1,0,0,Buffalo Beauts,stats#/player/632881,632881,420369,,,,,,,2022
