player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href
21,Gabie Figueroa,D,0,0,0,2,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/57719,57719,40887,,,,,,
21,Devon Skeats,F,0,3,3,2,0,8,0,0,0,0 - 0,0,0,0,8,0,0,0,stats#/player/58104,58104,40887,,,,,,
24,Hailey Browne,F,0,3,3,2,0,4,0,0,0,2 - 2,0.5,0,0,4,0,2,2,stats#/player/58106,58106,40887,,,,,,
36,Kourtney Kunichika,F,2,0,2,0,0,5,0,0,0,12 - 16,0.429,1,0,5,0,12,16,stats#/player/58111,58111,40887,,,,,,
2,Paige Harrington,D,0,1,1,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58084,58084,40887,,,,,,
6,Jessica Fickel,F,0,1,1,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/58087,58087,40887,,,,,,
7,Emily Pfalzer,D,1,0,1,2,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/58088,58088,40887,,,,,,
9,Megan Bozek,D,1,0,1,4,0,10,0,0,0,1 - 0,1,0,0,10,0,1,0,stats#/player/58091,58091,40887,,,,,,
12,Hannah McGowan,F,0,1,1,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/58099,58099,40887,,,,,,
13,Shelby Bram,F,0,1,1,0,0,1,0,0,0,12 - 9,0.571,0,0,1,0,12,9,stats#/player/58100,58100,40887,,,,,,
43,Tatiana Rafter,F,1,0,1,2,0,6,0,0,0,0 - 0,0,0,0,6,0,0,0,stats#/player/58112,58112,40887,,,,,,
14,Kelly McDonald,D,0,0,0,2,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/58101,58101,40887,,,,,,
20,Erin Zach,F,0,0,0,0,0,0,0,0,0,0 - 1,0,0,0,0,0,0,1,stats#/player/58103,58103,40887,,,,,,
23,Lindsay Grigg,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58105,58105,40887,,,,,,
77,Hayley Williams,F,0,0,0,4,0,2,0,0,0,7 - 6,0.539,0,0,2,0,7,6,stats#/player/58113,58113,40887,,,,,,
30,Jenny Scrivens,G,0,0,,0,,,,,,,,,,,,,,,57724,40887,80:00,47,5,42,0.894,stats#/player/57724
33,Nana Fujimoto,G,0,0,,0,,,,,,,,,,,,,,,58266,40887,00:00,0,0,0,0,stats#/player/58266
1,Kimberly Sass,G,0,0,,0,,,,,,,,,,,,,,,58083,40887,30:30,25,4,21,0.84,stats#/player/58083
29,Brianne McLaughlin,G,0,0,,0,,,,,,,,,,,,,,,58108,40887,49:30,26,1,25,0.962,stats#/player/58108
34,Amanda Makela,G,0,0,,0,,,,,,,,,,,,,,,58109,40887,00:00,0,0,0,0,stats#/player/58109
21,Hilary Knight,F,1,2,3,0,0,9,0,0,0,1 - 0,1,0,0,9,0,1,0,stats#/player/58127,58127,40891,,,,,,
19,Gigi Marvin,D,1,1,2,0,0,1,0,0,0,0 - 0,0,1,0,1,0,0,0,stats#/player/58126,58126,40891,,,,,,
11,Jordan Smelker,F,1,0,1,0,0,2,0,0,0,0 - 0,0,1,0,2,0,0,0,stats#/player/58120,58120,40891,,,,,,
12,Marissa Gedman,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58121,58121,40891,,,,,,
16,Amanda Pelkey,F,1,0,1,2,0,3,0,0,0,1 - 1,0.5,0,0,3,0,1,1,stats#/player/58124,58124,40891,,,,,,
