player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,team,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href,season
5,Samantha Isbell,F,0,1,1,0,0,6,0,0,0,0 - 0,0,0,0,6,0,0,0,Montreal Force,stats#/player/1262492,1262492,585654,,,,,,,2023
8,Kaity Howarth,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,1,1,0,0,Montreal Force,stats#/player/1262488,1262488,585654,,,,,,,2023
13,Alexandra Labelle,F,1,0,1,0,0,6,1,0,0,5 - 8,0.385,0,0,6,0,5,8,Montreal Force,stats#/player/1262659,1262659,585654,,,,,,,2023
23,Gabrielle De Serres,D,0,1,1,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Montreal Force,stats#/player/1405324,1405324,585654,,,,,,,2023
24,Ann-Sophie Bettez,F,1,0,1,2,0,3,0,0,0,0 - 0,0,0,0,4,1,0,0,Montreal Force,stats#/player/1262656,1262656,585654,,,,,,,2023
27,Jade Downie-Landry,F,0,1,1,0,0,6,0,0,0,6 - 15,0.286,0,0,7,1,6,15,Montreal Force,stats#/player/1262658,1262658,585654,,,,,,,2023
3,Brooke Stacey,F,0,0,0,2,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,Montreal Force,stats#/player/1262495,1262495,585654,,,,,,,2023
4,Taylor Baker,D,0,0,0,0,0,0,2,0,0,0 - 0,0,0,0,2,2,0,0,Montreal Force,stats#/player/1405323,1405323,585654,,,,,,,2023
7,Kristina Shanahan,F,0,0,0,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,Montreal Force,stats#/player/1262661,1262661,585654,,,,,,,2023
9,Kim Deschênes,F,0,0,0,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,Montreal Force,stats#/player/1262657,1262657,585654,,,,,,,2023
12,Catherine Daoust,D,0,0,0,0,0,1,3,0,0,0 - 0,0,0,0,2,1,0,0,Montreal Force,stats#/player/1262664,1262664,585654,,,,,,,2023
16,Sarah Lefort,F,0,0,0,0,0,2,0,0,0,0 - 1,0,0,0,3,1,0,1,Montreal Force,stats#/player/1262660,1262660,585654,,,,,,,2023
17,Christine Deaudelin,D,0,0,0,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,Montreal Force,stats#/player/1262665,1262665,585654,,,,,,,2023
18,Deziray De Sousa,F,0,0,0,0,0,4,1,0,0,0 - 0,0,0,0,4,0,0,0,Montreal Force,stats#/player/1405445,1405445,585654,,,,,,,2023
25,Alyssa Holmes,F,0,0,0,0,0,1,1,0,0,2 - 7,0.222,0,0,1,0,2,7,Montreal Force,stats#/player/1262490,1262490,585654,,,,,,,2023
26,Brigitte Laganière,D,0,0,0,0,0,3,0,0,0,0 - 0,0,0,0,6,3,0,0,Montreal Force,stats#/player/1262662,1262662,585654,,,,,,,2023
28,Catherine Dubois,F,0,0,0,0,0,1,1,0,0,0 - 0,0,0,0,1,0,0,0,Montreal Force,stats#/player/1262663,1262663,585654,,,,,,,2023
29,Laura Jardin,F,0,0,0,2,0,2,0,0,0,5 - 2,0.714,0,0,2,0,5,2,Montreal Force,stats#/player/1405447,1405447,585654,,,,,,,2023
67,Emma Woods,F,2,0,2,0,0,4,0,0,0,0 - 0,0,0,0,4,0,0,0,Toronto Six,stats#/player/630149,630149,585654,,,,,,,2023
86,Michela Cava,F,0,2,2,0,0,4,3,0,0,1 - 0,1,0,0,4,0,1,0,Toronto Six,stats#/player/963636,963636,585654,,,,,,,2023
9,Kati Tabin,D,0,1,1,0,0,3,2,0,0,0 - 0,0,0,0,3,0,0,0,Toronto Six,stats#/player/1220085,1220085,585654,,,,,,,2023
10,Lexi Templeman,F,0,1,1,0,0,1,0,0,0,13 - 6,0.684,0,0,1,0,13,6,Toronto Six,stats#/player/1220078,1220078,585654,,,,,,,2023
25,Emma Greco,D,1,0,1,0,0,2,0,0,0,0 - 0,0,0,0,3,1,0,0,Toronto Six,stats#/player/542420,542420,585654,,,,,,,2023
27,Shiann Darkangelo,F,0,1,1,0,0,2,0,0,0,14 - 7,0.667,0,0,2,0,14,7,Toronto Six,stats#/player/542419,542419,585654,,,,,,,2023
41,Brittany Howard,F,0,1,1,2,0,3,1,0,0,0 - 0,0,0,0,6,3,0,0,Toronto Six,stats#/player/1220073,1220073,585654,,,,,,,2023
2,Taylor Woods,D,0,0,0,0,0,0,1,0,0,0 - 0,0,0,0,1,1,0,0,Toronto Six,stats#/player/542421,542421,585654,,,,,,,2023
8,Leah Lum,F,0,0,0,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,Toronto Six,stats#/player/1269506,1269506,585654,,,,,,,2023
11,Breanne Wilson-Bennett,F,0,0,0,0,0,0,0,0,0,3 - 2,0.6,0,0,1,1,3,2,Toronto Six,stats#/player/630148,630148,585654,,,,,,,2023
14,Courtney Gardiner,F,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Toronto Six,stats#/player/1220094,1220094,585654,,,,,,,2023
19,Brooke Boquist,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Toronto Six,stats#/player/543984,543984,585654,,,,,,,2023
20,Taylor Davison,D,0,0,0,0,0,2,1,0,0,0 - 0,0,0,0,2,0,0,0,Toronto Six,stats#/player/881569,881569,585654,,,,,,,2023
21,Tereza Vanišová,F,0,0,0,0,0,4,0,0,0,0 - 0,0,0,0,4,0,0,0,Toronto Six,stats#/player/627752,627752,585654,,,,,,,2023
44,Lindsay Eastwood,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,1,0,0,Toronto Six,stats#/player/630139,630139,585654,,,,,,,2023
48,Alexis Woloschuk,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Toronto Six,stats#/player/1220797,1220797,585654,,,,,,,2023
71,Saroya Tinker,D,0,0,0,0,0,1,2,0,0,0 - 0,0,0,0,3,2,0,0,Toronto Six,stats#/player/879727,879727,585654,,,,,,,2023
96,Dominika Lásková,D,0,0,0,0,0,0,0,0,0,2 - 3,0.4,0,0,0,0,2,3,Toronto Six,stats#/player/1234871,1234871,585654,,,,,,,2023
33,Tricia Deguire,G,0,0,,0,,,,,,,,,,,,,,Montreal Force,,1262666,585654,60:00,31,3,28,0.903,stats#/player/1262666,2023
39,Marie-Soleil Deschênes,G,0,0,,0,,,,,,,,,,,,,,Montreal Force,,1262486,585654,00:00,0,0,0,0,stats#/player/1262486,2023
29,Elaine Chuli,G,0,0,,0,,,,,,,,,,,,,,Toronto Six,,542418,585654,60:00,46,2,44,0.957,stats#/player/542418,2023
70,Carly Jackson,G,0,0,,0,,,,,,,,,,,,,,Toronto Six,,1220081,585654,00:00,0,0,0,0,stats#/player/1220081,2023
3,Sarah Forster,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/1204421,1204421,585652,,,,,,,2023
5,Anna Kilponen,D,0,0,0,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,Metropolitan Riveters,stats#/player/1194645,1194645,585652,,,,,,,2023
8,Kelly Babstock,F,0,0,0,0,0,2,0,0,0,4 - 4,0.5,0,0,2,0,4,4,Metropolitan Riveters,stats#/player/699761,699761,585652,,,,,,,2023
9,Kaycie Anderson,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/1194646,1194646,585652,,,,,,,2023
10,Kendall Cornine,F,0,0,0,2,0,1,0,0,0,1 - 5,0.167,0,0,1,0,1,5,Metropolitan Riveters,stats#/player/431650,431650,585652,,,,,,,2023
12,Ebba Berglund,D,0,0,0,2,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,Metropolitan Riveters,stats#/player/1194638,1194638,585652,,,,,,,2023
13,Reka Dabasi,F,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Metropolitan Riveters,stats#/player/1194636,1194636,585652,,,,,,,2023
14,Madison Packer,F,0,0,0,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,Metropolitan Riveters,stats#/player/966106,966106,585652,,,,,,,2023
15,Minttu Tuominen,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/1194641,1194641,585652,,,,,,,2023
18,Reagan Rust,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Metropolitan Riveters,stats#/player/1396886,1396886,585652,,,,,,,2023
21,Amanda Pelkey,F,0,0,0,0,0,2,0,0,0,14 - 7,0.667,0,0,2,0,14,7,Metropolitan Riveters,stats#/player/1194634,1194634,585652,,,,,,,2023
22,Emilie Harley,D,0,0,0,0,0,4,0,0,0,0 - 1,0,0,0,4,0,0,1,Metropolitan Riveters,stats#/player/1194650,1194650,585652,,,,,,,2023
28,Leah Marino,F,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Metropolitan Riveters,stats#/player/1220794,1220794,585652,,,,,,,2023
44,Taylor Marchin,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Metropolitan Riveters,stats#/player/1194642,1194642,585652,,,,,,,2023
77,Kennedy Ganser,F,0,0,0,0,0,0,0,0,0,4 - 7,0.364,0,0,0,0,4,7,Metropolitan Riveters,stats#/player/1194649,1194649,585652,,,,,,,2023
94,Fanni Garát-Gasparics,F,0,0,0,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,Metropolitan Riveters,stats#/player/1396884,1396884,585652,,,,,,,2023
97,Catherine Crawley,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/1220795,1220795,585652,,,,,,,2023
17,Taylor Girard,F,1,3,4,0,0,5,0,0,0,0 - 0,0,1,0,5,0,0,0,Connecticut Whale,stats#/player/966983,966983,585652,,,,,,,2023
22,Kennedy Marchment,F,1,2,3,0,0,1,0,0,0,1 - 2,0.333,0,0,1,0,1,2,Connecticut Whale,stats#/player/966985,966985,585652,,,,,,,2023
11,Melissa Samoskevich,F,0,2,2,0,0,4,0,0,0,0 - 0,0,0,0,4,0,0,0,Connecticut Whale,stats#/player/1041703,1041703,585652,,,,,,,2023
12,Allie Munroe,D,0,2,2,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/966982,966982,585652,,,,,,,2023
16,Katerina Mrazova,F,2,0,2,0,0,6,0,0,0,7 - 4,0.636,0,0,6,0,7,4,Connecticut Whale,stats#/player/1231943,1231943,585652,,,,,,,2023
14,Justine Reyes,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/1231942,1231942,585652,,,,,,,2023
18,Hannah Bates,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/966984,966984,585652,,,,,,,2023
21,Emma Keenan,D,1,0,1,0,0,2,0,0,0,1 - 0,1,0,0,2,0,1,0,Connecticut Whale,stats#/player/788423,788423,585652,,,,,,,2023
97,Caitrin Lonergan,F,1,0,1,0,0,6,0,0,0,4 - 5,0.444,0,0,6,0,4,5,Connecticut Whale,stats#/player/1231901,1231901,585652,,,,,,,2023
5,Tori Howran,D,0,0,0,0,0,5,0,0,0,0 - 0,0,0,0,5,0,0,0,Connecticut Whale,stats#/player/1034126,1034126,585652,,,,,,,2023
6,Shannon Turner,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Connecticut Whale,stats#/player/967608,967608,585652,,,,,,,2023
8,Alyssa Wohlfeiler,F,0,0,0,2,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Connecticut Whale,stats#/player/57768,57768,585652,,,,,,,2023
15,Emma Vlasic,F,0,0,0,0,0,0,0,0,0,5 - 5,0.5,0,0,0,0,5,5,Connecticut Whale,stats#/player/431646,431646,585652,,,,,,,2023
24,Janine Weber,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/513300,513300,585652,,,,,,,2023
27,Janka Hlinka,F,0,0,0,0,0,1,0,0,0,1 - 1,0.5,0,0,1,0,1,1,Connecticut Whale,stats#/player/966992,966992,585652,,,,,,,2023
47,Lenka Serdar,F,0,0,0,0,0,1,0,0,0,5 - 6,0.455,0,0,1,0,5,6,Connecticut Whale,stats#/player/1231944,1231944,585652,,,,,,,2023
74,Mallory Souliotis,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/431621,431621,585652,,,,,,,2023
88,Amanda Conway,F,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Connecticut Whale,stats#/player/707073,707073,585652,,,,,,,2023
1,Eveliina Makinen,G,0,0,,0,,,,,,,,,,,,,,Metropolitan Riveters,,1194640,585652,20:00,7,3,4,0.571,stats#/player/1194640,2023
88,Katie Burt,G,0,0,,0,,,,,,,,,,,,,,Metropolitan Riveters,,1440284,585652,40:00,27,3,24,0.889,stats#/player/1440284,2023
35,Abbie Ives,G,0,0,,0,,,,,,,,,,,,,,Connecticut Whale,,707072,585652,00:00,0,0,0,0,stats#/player/707072,2023
81,Meeri Raisanen,G,0,0,,0,,,,,,,,,,,,,,Connecticut Whale,,468605,585652,60:00,23,0,23,1,stats#/player/468605,2023
34,Claudia Kepler,F,1,1,2,0,0,2,0,0,0,0 - 0,0,1,0,3,1,0,0,Buffalo Beauts,stats#/player/1020524,1020524,585653,,,,,,,2023
11,Madi Nichols,F,0,1,1,2,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,Buffalo Beauts,stats#/player/1259838,1259838,585653,,,,,,,2023
13,Dominique Kremer,D,0,1,1,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Buffalo Beauts,stats#/player/632881,632881,585653,,,,,,,2023
