player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href
22,Kacey Bellamy,D,0,2,2,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58128,58128,274757,,,,,,
14,Brianna Decker,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58122,58122,274757,,,,,,
19,Gigi Marvin,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58126,58126,274757,,,,,,
21,Hilary Knight,F,1,0,1,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58127,58127,274757,,,,,,
25,Alex Carpenter,F,1,0,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455025,455025,274757,,,,,,
2,Alyssa Gagliardi,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58115,58115,274757,,,,,,
3,Jillian Dempsey,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58116,58116,274757,,,,,,
5,Alexandra Bender,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455023,455023,274757,,,,,,
7,Mary Parker,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/1041273,1041273,274757,,,,,,
10,Blake Bolden,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58119,58119,274757,,,,,,
11,Jordan Smelker,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58120,58120,274757,,,,,,
15,Emily Field,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58123,58123,274757,,,,,,
16,Amanda Pelkey,F,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58124,58124,274757,,,,,,
17,Meghan Duggan,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58098,58098,274757,,,,,,
91,Rachel Llanes,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58135,58135,274757,,,,,,
9,Megan Bozek,D,1,1,2,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58091,58091,274757,,,,,,
4,Emily Janiga,F,1,0,1,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/644549,644549,274757,,,,,,
6,Ashley Vesci,F,0,1,1,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455029,455029,274757,,,,,,
14,Hayley Scamurra,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455033,455033,274757,,,,,,
23,Corinne Buie,F,1,0,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58129,58129,274757,,,,,,
2,Paige Harrington,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58084,58084,274757,,,,,,
3,Kelley Steadman,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58085,58085,274757,,,,,,
7,Emily Pfalzer,D,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58088,58088,274757,,,,,,
10,Neve Van Pelt,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455031,455031,274757,,,,,,
17,Jordyn Burns,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455034,455034,274757,,,,,,
21,Devon Skeats,F,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58104,58104,274757,,,,,,
24,Harrison Browne,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455036,455036,274757,,,,,,
25,Jacquie Greco,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455037,455037,274757,,,,,,
27,Shiann Darkangelo,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/542419,542419,274757,,,,,,
36,Kourtney Kunichika,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58111,58111,274757,,,,,,
29,Brittany Ott,G,0,0,,0,,,,,,,,,,,,,,,58131,274757,28:25,12,3,9,0.75,stats#/player/58131
30,Lauren Slebodnick,G,0,0,,0,,,,,,,,,,,,,,,58132,274757,31:35,1,0,1,1,stats#/player/58132
29,Brianne McLaughlin,G,0,0,,0,,,,,,,,,,,,,,,58108,274757,60:00,62,2,60,0.968,stats#/player/58108
7,Tatiana Rafter,F,1,0,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58112,58112,274758,,,,,,
12,Janine Weber,F,1,0,1,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/513300,513300,274758,,,,,,
14,Madison Packer,F,0,1,1,2,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/966106,966106,274758,,,,,,
16,Alexa Gruschow,F,0,1,1,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455052,455052,274758,,,,,,
19,Miye D'Oench,F,0,1,1,2,-2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455054,455054,274758,,,,,,
28,Amanda Kessel,F,0,1,1,0,-2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455057,455057,274758,,,,,,
6,Courtney Burke,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455050,455050,274758,,,,,,
10,Ashley Johnston,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57701,57701,274758,,,,,,
11,Kelsey Koelzer,D,0,0,0,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455051,455051,274758,,,,,,
13,Kaleigh Fratkin,D,0,0,0,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57735,57735,274758,,,,,,
17,Bray Ketchum,F,0,0,0,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57716,57716,274758,,,,,,
18,Rebecca Russo,F,0,0,0,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/644558,644558,274758,,,,,,
26,Kiira Dosdall-Arena,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/1066549,1066549,274758,,,,,,
27,Michelle Picard,D,0,0,0,0,-2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455056,455056,274758,,,,,,
73,Milica Mcmillen,D,0,0,0,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455060,455060,274758,,,,,,
4,Emily Janiga,F,2,1,3,0,2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/644549,644549,274758,,,,,,
14,Hayley Scamurra,F,1,2,3,0,3,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455033,455033,274758,,,,,,
9,Megan Bozek,D,1,1,2,0,2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58091,58091,274758,,,,,,
11,Lisa Chesson,D,0,1,1,0,2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/632868,632868,274758,,,,,,
27,Shiann Darkangelo,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/542419,542419,274758,,,,,,
2,Paige Harrington,D,0,0,0,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58084,58084,274758,,,,,,
3,Kelley Steadman,F,0,0,0,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58085,58085,274758,,,,,,
6,Ashley Vesci,F,0,0,0,4,2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455029,455029,274758,,,,,,
7,Emily Pfalzer,D,0,0,0,4,2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58088,58088,274758,,,,,,
10,Neve Van Pelt,D,0,0,0,4,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455031,455031,274758,,,,,,
17,Jordyn Burns,D,0,0,0,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455034,455034,274758,,,,,,
23,Corinne Buie,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58129,58129,274758,,,,,,
24,Harrison Browne,F,0,0,0,2,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455036,455036,274758,,,,,,
25,Jacquie Greco,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455037,455037,274758,,,,,,
36,Kourtney Kunichika,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58111,58111,274758,,,,,,
35,Katie Fitzgerald,G,0,0,,0,,,,,,,,,,,,,,,455059,274758,58:00,12,4,8,0.667,stats#/player/455059
28,Amanda Leveille,G,0,0,,0,,,,,,,,,,,,,,,967811,274758,60:00,36,2,34,0.944,stats#/player/967811
25,Alex Carpenter,F,2,3,5,0,6,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455025,455025,274756,,,,,,
14,Brianna Decker,F,1,3,4,2,6,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58122,58122,274756,,,,,,
21,Hilary Knight,F,2,2,4,0,6,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58127,58127,274756,,,,,,
22,Kacey Bellamy,D,0,2,2,0,2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58128,58128,274756,,,,,,
3,Jillian Dempsey,F,1,0,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58116,58116,274756,,,,,,
5,Alexandra Bender,D,1,0,1,0,3,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455023,455023,274756,,,,,,
10,Blake Bolden,D,0,1,1,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58119,58119,274756,,,,,,
17,Meghan Duggan,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58098,58098,274756,,,,,,
19,Gigi Marvin,D,1,0,1,0,4,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58126,58126,274756,,,,,,
2,Alyssa Gagliardi,D,0,0,0,0,2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58115,58115,274756,,,,,,
7,Mary Parker,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/1041273,1041273,274756,,,,,,
15,Emily Field,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58123,58123,274756,,,,,,
16,Amanda Pelkey,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58124,58124,274756,,,,,,
