player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,team,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href,season
13,Kaleigh Fratkin,D,1,2,3,0,2,1,2,1,0,0 - 0,0,0,0,3,2,0,0,Boston Pride,stats#/player/57735,57735,306651,,,,,,,2020
11,Emily Fluke,F,1,1,2,2,1,3,0,0,2,0 - 1,0,0,0,3,0,0,1,Boston Pride,stats#/player/455143,455143,306651,,,,,,,2020
4,Lauren Kelly,D,0,1,1,0,0,4,1,1,0,0 - 0,0,0,0,8,4,0,0,Boston Pride,stats#/player/431612,431612,306651,,,,,,,2020
7,Mary Parker,F,0,1,1,2,1,8,0,1,2,7 - 11,0.389,0,0,8,0,7,11,Boston Pride,stats#/player/1041273,1041273,306651,,,,,,,2020
8,Alyssa Wohlfeiler,F,0,1,1,0,0,5,1,0,2,0 - 0,0,0,0,6,1,0,0,Boston Pride,stats#/player/57768,57768,306651,,,,,,,2020
12,Jenna Rheault,D,0,1,1,0,0,1,0,0,1,0 - 0,0,0,0,2,1,0,0,Boston Pride,stats#/player/431619,431619,306651,,,,,,,2020
14,Jillian Dempsey,F,1,0,1,2,1,4,0,1,1,15 - 4,0.79,0,0,5,1,15,4,Boston Pride,stats#/player/58116,58116,306651,,,,,,,2020
17,McKenna Brand,F,0,1,1,0,1,3,0,0,1,0 - 0,0,0,0,4,1,0,0,Boston Pride,stats#/player/431610,431610,306651,,,,,,,2020
21,Christina Putigna,F,1,0,1,0,1,6,1,0,0,0 - 0,0,0,0,6,0,0,0,Boston Pride,stats#/player/431616,431616,306651,,,,,,,2020
27,Jordan Juron,F,1,0,1,0,1,5,0,0,0,2 - 3,0.4,1,0,5,0,2,3,Boston Pride,stats#/player/455131,455131,306651,,,,,,,2020
47,Mallory Souliotis,D,0,1,1,0,2,0,2,2,0,0 - 0,0,0,0,3,3,0,0,Boston Pride,stats#/player/431621,431621,306651,,,,,,,2020
5,Lexi Bender,D,0,0,0,2,0,1,0,1,0,0 - 0,0,0,0,3,2,0,0,Boston Pride,stats#/player/431609,431609,306651,,,,,,,2020
9,Tori Sullivan,F,0,0,0,0,0,1,0,0,1,0 - 0,0,0,0,1,0,0,0,Boston Pride,stats#/player/431622,431622,306651,,,,,,,2020
16,Lexie Laing,F,0,0,0,0,0,4,1,0,0,15 - 8,0.652,0,0,4,0,15,8,Boston Pride,stats#/player/1418978,1418978,306651,,,,,,,2020
26,Carlee Toews,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Boston Pride,stats#/player/456612,456612,306651,,,,,,,2020
28,Briana Mastel,D,0,0,0,0,0,1,0,0,0,1 - 0,1,0,0,1,0,1,0,Boston Pride,stats#/player/431614,431614,306651,,,,,,,2020
4,Taylor Marchin,D,0,1,1,0,-2,4,2,0,0,0 - 0,0,0,0,6,2,0,0,Connecticut Whale,stats#/player/1194642,1194642,306651,,,,,,,2020
18,Elena Gualtieri,F,0,1,1,0,0,0,2,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/490587,490587,306651,,,,,,,2020
94,Grace Klienbach,F,1,0,1,4,0,1,1,1,0,0 - 0,0,0,0,1,0,0,0,Connecticut Whale,stats#/player/827706,827706,306651,,,,,,,2020
3,Kayla Meneghin,F,0,0,0,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/632920,632920,306651,,,,,,,2020
6,Shannon Turner,D,0,0,0,7,0,6,2,0,2,0 - 0,0,0,0,8,2,0,0,Connecticut Whale,stats#/player/967608,967608,306651,,,,,,,2020
7,Jane Morrisette,F,0,0,0,2,-1,1,0,1,0,4 - 5,0.444,0,0,1,0,4,5,Connecticut Whale,stats#/player/431645,431645,306651,,,,,,,2020
