player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href
2,Lee Stecklein,D,1,1,2,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455175,455175,274938,,,,,,
13,Katie Mcgovern,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455177,455177,274938,,,,,,
21,Amy Menke,F,1,0,1,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455183,455183,274938,,,,,,
26,Kendall Coyne Schofield,F,0,1,1,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455185,455185,274938,,,,,,
3,Jonna Curtis,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431666,431666,274938,,,,,,
4,Chelsey Brodt Rosenthal,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431664,431664,274938,,,,,,
5,Winny Brodt Brown,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431663,431663,274938,,,,,,
6,Kate Schipper,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455176,455176,274938,,,,,,
7,Emma Stauber,F,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/968364,968364,274938,,,,,,
8,Amanda Boulier,D,0,0,0,2,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431662,431662,274938,,,,,,
9,Allie Thunstrom,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431677,431677,274938,,,,,,
15,Meaghan Pezon,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455178,455178,274938,,,,,,
20,Hannah Brandt,F,0,0,0,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455182,455182,274938,,,,,,
22,Kalli Funk,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431667,431667,274938,,,,,,
25,Lauren Barnes,F,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431661,431661,274938,,,,,,
7,Emily Pfalzer,D,1,0,1,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58088,58088,274938,,,,,,
13,Annika Zalewski,F,0,1,1,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455193,455193,274938,,,,,,
20,Blake Bolden,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58119,58119,274938,,,,,,
4,Emily Janiga,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/644549,644549,274938,,,,,,
8,Kelly Babstock,F,0,0,0,4,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/699761,699761,274938,,,,,,
11,Lisa Chesson,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/632868,632868,274938,,,,,,
12,Savannah Harmon,D,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455192,455192,274938,,,,,,
14,Hayley Scamurra,F,0,0,0,0,-2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455033,455033,274938,,,,,,
16,Maddie Elia,F,0,0,0,0,-2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455133,455133,274938,,,,,,
17,Jordyn Burns,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455034,455034,274938,,,,,,
18,Julianna Iafallo,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455194,455194,274938,,,,,,
23,Corinne Buie,F,0,0,0,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58129,58129,274938,,,,,,
24,Dani Cameranesi,F,0,0,0,2,-2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455196,455196,274938,,,,,,
25,Jacquie Greco,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455037,455037,274938,,,,,,
95,Taylor Accursi,F,0,0,0,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455139,455139,274938,,,,,,
1,Julie Friend,G,0,0,,0,,,,,,,,,,,,,,,1047007,274938,00:00,0,0,0,0,stats#/player/1047007
29,Amanda Leveille,G,0,0,,0,,,,,,,,,,,,,,,967811,274938,60:49,23,1,22,0.957,stats#/player/967811
29,Nicole Hensley,G,0,0,,0,,,,,,,,,,,,,,,455197,274938,60:49,31,2,29,0.935,stats#/player/455197
34,Julia DiTondo,G,0,0,,0,,,,,,,,,,,,,,,455138,274938,00:00,0,0,0,0,stats#/player/455138
8,Amanda Boulier,D,1,1,2,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431662,431662,274937,,,,,,
20,Hannah Brandt,F,2,0,2,2,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455182,455182,274937,,,,,,
3,Jonna Curtis,F,0,1,1,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431666,431666,274937,,,,,,
6,Kate Schipper,F,0,1,1,2,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455176,455176,274937,,,,,,
9,Allie Thunstrom,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431677,431677,274937,,,,,,
13,Katie Mcgovern,F,1,0,1,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455177,455177,274937,,,,,,
21,Amy Menke,F,0,1,1,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455183,455183,274937,,,,,,
25,Lauren Barnes,F,1,0,1,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431661,431661,274937,,,,,,
26,Kendall Coyne Schofield,F,0,1,1,2,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455185,455185,274937,,,,,,
2,Lee Stecklein,D,0,0,0,0,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455175,455175,274937,,,,,,
4,Chelsey Brodt Rosenthal,D,0,0,0,2,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431664,431664,274937,,,,,,
5,Winny Brodt Brown,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431663,431663,274937,,,,,,
7,Emma Stauber,F,0,0,0,2,1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/968364,968364,274937,,,,,,
11,Lisa Martinson,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431670,431670,274937,,,,,,
22,Kalli Funk,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431667,431667,274937,,,,,,
5,Jenny Ryan,D,0,1,1,2,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455154,455154,274937,,,,,,
6,Courtney Burke,D,1,0,1,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455050,455050,274937,,,,,,
2,Erika Lawler,F,0,0,0,0,-2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455153,455153,274937,,,,,,
9,Rebecca Morse,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431654,431654,274937,,,,,,
11,Alexa Gruschow,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455052,455052,274937,,,,,,
14,Madison Packer,F,0,0,0,0,-2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/966106,966106,274937,,,,,,
15,Lexi Slattery,D,0,0,0,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431658,431658,274937,,,,,,
16,Alexa Aramburu,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/699759,699759,274937,,,,,,
18,Rebecca Russo,F,0,0,0,0,-2,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/644558,644558,274937,,,,,,
19,Miye D'Oench,F,0,0,0,4,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455054,455054,274937,,,,,,
20,Chelsea Ziadie,D,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/455171,455171,274937,,,,,,
21,Audra Morrison,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/431673,431673,274937,,,,,,
25,Kristin Lewicki,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/632934,632934,274937,,,,,,
