team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring,season
min,510842,TRUE,4,0,6,0,6,0.397,18,17,14,13,11,9,,,,33,1,2,1,,,,2022
met,510842,FALSE,1,0,3,0,12,0.603,7,14,17,15,9,9,,,,33,0,1,0,,,,2022
buf,510841,FALSE,0,0,2,0,10,0.308,9,0,0,11,8,13,,,,32,0,0,0,,,,2022
bos,510841,TRUE,6,2,5,0.4,4,0.692,9,0,0,5,22,9,,,,36,0,3,3,,,,2022
tor,487965,FALSE,0,0,0,0,8,0.444,11,0,0,5,3,2,,,,10,0,0,0,,,,2022
ctw,487965,TRUE,5,1,4,0.25,0,0.556,2,0,0,8,9,10,,,,27,0,3,2,,,,2022
bos,484010,FALSE,2,1,5,0.2,18,0.438,1,1,2,9,7,12,0,,,28,0,2,0,0,,,2022
buf,484010,TRUE,3,3,5,0.6,10,0.563,7,2,1,12,7,5,2,,,26,1,1,0,1,,,2022
bos,484012,FALSE,1,1,2,0.5,8,0.571,9,2,3,7,13,8,0,,,28,0,1,0,0,,,2022
buf,484012,TRUE,2,0,4,0,4,0.429,3,3,2,11,11,7,2,,,31,0,1,0,1,,,2022
tor,487966,TRUE,5,0,2,0,4,0.6,0,0,0,7,5,4,1,,,17,1,1,2,1,,,2022
ctw,487966,FALSE,4,0,2,0,4,0.4,5,0,0,11,10,7,1,,,29,0,2,2,0,,,2022
min,420389,FALSE,3,0,4,0,2,0.392,7,0,0,13,19,12,,,,44,0,1,2,,,,2022
met,420389,TRUE,4,0,1,0,11,0.608,16,0,0,11,10,17,,,,38,2,2,0,,,,2022
buf,420388,FALSE,0,0,3,0,6,0.531,11,4,0,7,6,5,,,,18,0,0,0,,,,2022
ctw,420388,TRUE,4,1,3,0.333,6,0.469,3,0,4,13,10,9,,,,32,2,1,1,,,,2022
bos,420385,FALSE,3,0,3,0,6,0.5,7,20,22,12,11,5,4,,,32,2,1,0,0,,,2022
tor,420385,TRUE,4,1,3,0.333,6,0.5,10,22,20,13,3,8,1,,,25,2,0,1,1,,,2022
buf,420384,FALSE,3,0,2,0,10,0.519,9,2,3,8,1,11,,,,20,2,0,1,,,,2022
ctw,420384,TRUE,5,1,5,0.2,4,0.481,8,3,2,17,7,10,,,,34,3,0,2,,,,2022
bos,420382,FALSE,1,0,1,0,4,0.389,18,28,23,7,9,10,1,,,27,1,0,0,0,,,2022
tor,420382,TRUE,2,0,2,0,2,0.611,16,23,28,10,13,8,8,,,39,0,1,0,1,,,2022
min,420386,TRUE,4,0,3,0,10,0.5,4,10,8,7,16,12,,,,35,0,2,2,,,,2022
met,420386,FALSE,2,1,5,0.2,6,0.5,4,8,10,17,11,8,,,,36,0,0,2,,,,2022
bos,484008,FALSE,2,0,1,0,6,0.407,11,26,5,9,16,13,4,,,42,1,1,0,0,,,2022
