team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring,season
met,484008,TRUE,3,0,2,0,4,0.593,11,20,22,10,12,10,3,,,35,0,2,0,1,,,2022
ctw,420387,TRUE,4,2,3,0.667,6,0.609,6,15,11,13,6,14,,,,33,1,1,2,,,,2022
min,420387,FALSE,1,0,3,0,6,0.391,8,11,15,10,8,5,,,,23,0,0,1,,,,2022
ctw,420383,TRUE,4,0,5,0,6,0.49,7,10,5,15,12,8,,,,35,2,1,1,,,,2022
min,420383,FALSE,2,1,3,0.333,10,0.51,7,5,10,6,4,7,,,,17,0,1,1,,,,2022
bos,484011,TRUE,2,0,1,0,8,0.529,10,10,13,5,9,12,,,,26,0,1,1,,,,2022
met,484011,FALSE,0,0,4,0,2,0.471,2,13,10,10,16,10,,,,36,0,0,0,,,,2022
tor,420380,TRUE,3,2,6,0.333,14,0.397,10,0,0,9,11,9,,,,29,2,0,1,,,,2022
met,420380,FALSE,2,2,7,0.286,10,0.603,3,0,0,10,8,21,,,,39,1,0,1,,,,2022
buf,420381,FALSE,0,0,5,0,6,0.389,4,9,62,9,9,19,,,,37,0,0,0,,,,2022
bos,420381,TRUE,1,0,3,0,10,0.611,14,27,9,15,17,8,,,,40,1,0,0,,,,2022
buf,420379,FALSE,3,0,0,0,0,0.359,5,19,15,6,7,11,,,,24,1,2,0,,,,2022
bos,420379,TRUE,4,0,1,0,0,0.641,3,15,19,9,15,24,,,,48,0,3,1,,,,2022
tor,420374,TRUE,4,1,6,0.167,8,0.549,5,11,19,8,12,11,,,,31,0,2,2,,,,2022
met,420374,FALSE,3,0,4,0,12,0.451,8,19,11,8,5,9,,,,22,0,2,1,,,,2022
tor,420377,FALSE,0,0,4,0,8,0.525,1,1,2,10,11,15,,,,36,0,0,0,,,,2022
buf,420377,TRUE,3,0,3,0,10,0.475,17,2,1,8,7,4,,,,19,0,1,2,,,,2022
met,420373,TRUE,7,3,4,0.75,12,0.446,5,15,13,13,13,11,,,,37,2,1,4,,,,2022
min,420373,FALSE,4,0,4,0,11,0.554,8,13,15,14,16,14,,,,44,3,0,1,,,,2022
met,420378,FALSE,2,2,5,0.4,12,0.519,11,10,12,8,12,11,,,,31,0,0,2,,,,2022
min,420378,TRUE,5,2,6,0.333,8,0.481,7,12,10,15,11,6,,,,32,0,3,2,,,,2022
met,420410,TRUE,3,2,5,0.4,14,0.508,5,1,3,10,11,9,,,,30,0,1,2,,,,2022
buf,420410,FALSE,2,0,7,0,10,0.492,6,3,1,11,6,4,,,,21,0,2,0,,,,2022
min,484009,FALSE,1,0,2,0,4,0.326,15,19,15,13,11,4,,,,28,0,1,0,,,,2022
tor,484009,TRUE,2,0,2,0,4,0.674,8,15,19,16,12,14,,,,42,0,1,1,,,,2022
met,420375,FALSE,2,0,4,0,16,0.453,3,0,5,7,2,10,,,,19,1,0,1,,,,2022
buf,420375,TRUE,3,1,7,0.143,10,0.547,9,5,0,12,17,9,,,,38,1,1,1,,,,2022
min,484013,FALSE,2,0,3,0,2,0.315,12,21,28,13,6,8,,,,27,1,1,0,,,,2022
tor,484013,TRUE,6,0,1,0,6,0.685,11,28,21,17,16,10,,,,43,0,4,2,,,,2022
ctw,420372,TRUE,6,0,4,0,14,0.446,1,24,12,11,7,6,,,,24,2,2,2,,,,2022
bos,420372,FALSE,1,0,7,0,8,0.554,3,13,24,10,10,15,,,,35,0,1,0,,,,2022
buf,473450,TRUE,6,1,6,0.167,8,0.508,6,11,11,14,13,12,,,,39,2,1,3,,,,2022
min,473450,FALSE,2,0,2,0,16,0.492,10,11,11,10,15,17,,,,42,0,1,1,,,,2022
ctw,420363,TRUE,3,0,3,0,6,0.537,4,1,1,12,11,11,,,,34,1,2,0,,,,2022
bos,420363,FALSE,2,0,3,0,6,0.463,0,2,1,8,7,11,,,,26,2,0,0,,,,2022
buf,473449,FALSE,1,1,7,0.143,10,0.687,4,9,8,11,11,8,,,,30,0,0,1,,,,2022
min,473449,TRUE,8,4,4,1,12,0.313,5,8,9,6,17,13,,,,36,3,3,2,,,,2022
met,420370,TRUE,4,0,6,0,12,0.465,7,6,16,16,10,8,,,,34,3,0,1,,,,2022
bos,420370,FALSE,3,0,6,0,12,0.535,5,6,13,16,13,12,,,,41,0,1,2,,,,2022
min,420369,TRUE,6,2,7,0.286,22,0.431,13,3,2,7,15,12,,,,34,1,4,1,,,,2022
buf,420369,FALSE,1,0,6,0,16,0.569,5,2,3,10,8,6,,,,24,0,0,1,,,,2022
met,420364,FALSE,1,0,2,0,8,0.507,6,15,17,12,7,16,,,,35,0,0,1,,,,2022
bos,420364,TRUE,3,0,5,0,4,0.493,7,17,15,12,13,10,,,,35,0,1,2,,,,2022
min,420367,TRUE,3,1,3,0.333,12,0.481,6,8,3,10,10,10,,,,30,0,1,2,,,,2022
buf,420367,FALSE,1,0,5,0,8,0.519,2,3,8,7,16,14,,,,37,0,1,0,,,,2022
met,420405,FALSE,2,1,4,0.25,10,0.491,8,4,2,5,6,6,,,,17,1,0,1,,,,2022
ctw,420405,TRUE,3,1,5,0.2,8,0.509,7,2,4,15,6,10,,,,31,2,1,0,,,,2022
buf,420365,FALSE,3,0,5,0,8,0.423,11,26,19,8,4,5,,,,17,3,0,0,,,,2022
tor,420365,TRUE,8,2,4,0.5,10,0.577,11,19,26,6,14,13,,,,33,2,5,1,,,,2022
buf,420360,FALSE,1,0,3,0,2,0.609,10,25,20,8,8,11,,,,27,0,0,1,,,,2022
tor,420360,TRUE,6,0,1,0,6,0.391,20,20,25,13,17,10,,,,40,3,1,2,,,,2022
met,420402,FALSE,1,0,5,0,12,0.414,5,0,0,6,6,6,,,,18,0,0,1,,,,2022
ctw,420402,TRUE,5,1,6,0.167,10,0.586,1,0,0,17,11,13,,,,41,1,2,2,,,,2022
ctw,420358,TRUE,3,1,5,0.2,4,0.429,6,4,3,13,17,13,,,,43,1,1,1,,,,2022
buf,420358,FALSE,1,0,3,0,10,0.571,7,3,4,5,5,10,,,,20,0,0,1,,,,2022
tor,420354,TRUE,2,0,8,0,10,0.436,4,25,63,13,15,10,,,,38,2,0,0,,,,2022
min,420354,FALSE,1,0,5,0,16,0.564,8,30,64,6,6,9,,,,21,1,0,0,,,,2022
ctw,420352,TRUE,3,0,2,0,4,0.619,7,5,7,11,11,9,,,,31,1,0,2,,,,2022
buf,420352,FALSE,1,0,2,0,4,0.381,5,7,5,6,11,8,,,,25,0,1,0,,,,2022
tor,420351,TRUE,4,2,4,0.5,4,0.46,5,0,6,27,7,15,,,,49,1,1,2,,,,2022
min,420351,FALSE,0,0,2,0,8,0.54,8,0,3,3,8,15,,,,26,0,0,0,,,,2022
met,420398,FALSE,0,0,4,0,8,0.5,15,18,17,11,6,8,,,,25,0,0,0,,,,2022
tor,420398,TRUE,3,1,4,0.25,8,0.5,11,17,18,10,14,6,,,,30,1,1,1,,,,2022
met,420348,FALSE,1,0,4,0,4,0.456,13,18,21,6,10,6,,,,22,0,1,0,,,,2022
tor,420348,TRUE,2,0,1,0,10,0.544,13,22,18,12,9,13,,,,34,0,1,1,,,,2022
min,420345,FALSE,2,0,2,0,4,0.449,5,4,2,9,8,5,,,,22,0,2,0,,,,2022
ctw,420345,TRUE,4,0,2,0,4,0.551,5,2,4,7,15,10,,,,32,0,2,2,,,,2022
tor,420349,FALSE,2,1,3,0.333,8,0.527,7,0,13,14,11,13,,,,38,0,1,1,,,,2022
bos,420349,TRUE,8,1,4,0.25,6,0.473,5,0,7,12,15,14,,,,41,1,4,3,,,,2022
tor,420344,FALSE,1,0,3,0,6,0.563,1,4,22,11,7,10,3,,,31,0,1,0,0,0,2,2022
bos,420344,TRUE,2,0,3,0,6,0.438,11,3,24,12,17,9,4,,,42,0,0,1,0,2,1,2022
min,420343,FALSE,1,0,3,0,8,0.388,8,0,0,11,7,9,,,,27,0,0,1,,,,2022
ctw,420343,TRUE,5,0,5,0,4,0.612,6,0,0,12,14,11,,,,37,0,4,1,,,,2022
buf,420341,FALSE,3,1,2,0.5,6,0.397,8,24,36,9,12,11,,,,32,1,1,1,,,,2022
met,420341,TRUE,5,2,4,0.5,4,0.603,3,36,24,18,14,8,,,,40,3,0,2,,,,2022
ctw,420335,FALSE,2,0,4,0,2,0.568,12,20,19,7,11,11,,,,29,0,0,2,,,,2022
tor,420335,TRUE,3,0,1,0,8,0.432,10,19,21,7,9,5,,,,21,0,3,0,,,,2022
bos,420342,TRUE,2,0,4,0,12,0.527,0,0,0,14,18,11,1,,,44,1,0,0,1,,,2022
min,420342,FALSE,1,0,5,0,10,0.473,0,0,0,13,5,7,1,,,26,0,1,0,0,,,2022
bos,420336,FALSE,0,0,7,0,10,0.51,1,1,1,15,12,16,,,,43,0,0,0,,,,2022
min,420336,TRUE,2,0,5,0,15,0.49,7,1,1,8,11,11,,,,30,0,1,1,,,,2022
buf,420337,TRUE,4,1,6,0.167,22,0.406,0,0,0,12,16,15,1,,,44,0,1,2,1,,,2022
met,420337,FALSE,3,0,6,0,12,0.594,0,0,0,10,16,11,0,,,37,0,3,0,0,,,2022
ctw,420340,FALSE,1,0,4,0,8,0.524,9,25,20,8,13,4,,,,25,1,0,0,,,,2022
tor,420340,TRUE,5,1,4,0.25,8,0.476,14,21,25,10,11,9,,,,30,0,4,1,,,,2022
bos,420338,FALSE,1,0,3,0,2,0.484,4,63,63,4,12,5,,,,21,0,0,1,,,,2022
ctw,420338,TRUE,3,1,2,0.5,6,0.516,3,63,63,9,6,11,,,,26,1,0,2,,,,2022
bos,420339,TRUE,4,0,6,0,8,0.383,0,21,18,13,4,15,2,,,34,2,0,1,1,,,2022
ctw,420339,FALSE,3,1,4,0.25,12,0.617,12,18,21,9,13,10,2,,,34,0,3,0,0,,,2022
ctw,419904,TRUE,6,1,4,0.25,14,0.453,11,5,5,6,18,15,,,,39,0,3,3,,,,2022
met,419904,FALSE,5,0,6,0,10,0.547,8,5,5,17,1,12,,,,30,2,1,2,,,,2022
min,419905,FALSE,0,0,4,0,8,0.294,7,14,15,11,6,10,,,,27,0,0,0,,,,2022
bos,419905,TRUE,1,0,4,0,8,0.706,8,15,14,11,11,14,,,,36,0,1,0,,,,2022
min,419902,FALSE,4,1,3,0.333,8,0.5,7,18,22,7,8,16,,,,31,0,0,4,,,,2022
bos,419902,TRUE,6,1,4,0.25,6,0.5,10,22,18,15,11,8,,,,34,2,2,2,,,,2022
tor,419903,TRUE,4,2,6,0.333,8,0.464,2,8,4,14,9,7,,,,30,1,2,1,,,,2022
buf,419903,FALSE,3,0,4,0,12,0.536,9,4,8,3,10,7,,,,20,1,0,2,,,,2022
ctw,419901,FALSE,1,0,6,0,14,0.651,5,17,18,8,7,6,,,,21,1,0,0,,,,2022
met,419901,TRUE,4,1,7,0.143,12,0.349,7,18,17,4,9,8,,,,21,1,1,2,,,,2022
