team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring
buf,274757,TRUE,3,0,0,0,8,0,0,0,0,17,24,24,,,,65,2,1,0,,,
bos,274757,FALSE,2,0,0,0,4,0,0,0,0,11,3,2,,,,16,0,0,2,,,
buf,274758,TRUE,4,0,0,0,14,0,0,0,0,12,13,15,,,,40,1,2,1,,,
met,274758,FALSE,2,0,0,0,4,0,0,0,0,3,7,4,,,,14,0,1,1,,,
ctw,274756,FALSE,2,0,0,0,8,0,0,0,0,13,14,10,,,,37,0,1,1,,,
bos,274756,TRUE,8,0,0,0,4,0,0,0,0,11,13,10,,,,34,2,3,3,,,
bos,274627,FALSE,2,0,0,0,4,0,0,0,0,5,8,9,,,,22,0,1,1,,,
met,274627,TRUE,3,0,0,0,8,0,0,0,0,14,14,21,,,,49,0,2,1,,,
buf,274626,TRUE,4,0,0,0,10,0,0,0,0,1,2,1,,,,4,1,2,1,,,
ctw,274626,FALSE,3,0,0,0,10,0,0,0,0,1,0,2,,,,3,1,0,2,,,
buf,274625,FALSE,1,0,0,0,2,0,0,0,0,14,13,13,,,,40,0,1,0,,,
bos,274625,TRUE,7,0,0,0,8,0,0,0,0,6,11,15,,,,32,2,3,2,,,
met,274624,FALSE,3,0,0,0,10,0,0,0,0,5,7,11,,,,23,2,1,0,,,
bos,274624,TRUE,4,0,0,0,8,0,0,0,0,9,6,11,,,,26,0,1,3,,,
ctw,274623,TRUE,4,0,0,0,8,0,0,0,0,12,8,9,,,,29,1,1,2,,,
buf,274623,FALSE,2,0,0,0,4,0,0,0,0,9,13,17,,,,39,0,1,1,,,
bos,274622,TRUE,5,0,0,0,14,0,0,0,0,10,12,5,,,,27,1,4,0,,,
ctw,274622,FALSE,4,0,0,0,14,0,0,0,0,19,19,16,,,,54,3,1,0,,,
ctw,274621,FALSE,5,0,0,0,16,0,0,0,0,17,9,9,4,,,39,4,1,0,0,,
met,274621,TRUE,6,0,0,0,6,0,0,0,0,10,9,9,1,,,29,1,1,3,1,,
buf,274620,FALSE,1,0,0,0,8,0,0,0,0,13,17,14,,,,44,1,0,0,,,
bos,274620,TRUE,3,0,0,0,8,0,0,0,0,4,13,10,,,,27,1,1,1,,,
ctw,274619,FALSE,2,0,0,0,10,0,0,0,0,12,16,12,,,,40,1,1,0,,,
bos,274619,TRUE,5,0,0,0,10,0,0,0,0,13,5,9,,,,27,1,0,4,,,
buf,274618,FALSE,2,0,0,0,6,0,0,0,0,0,2,0,,,,2,0,2,0,,,
met,274618,TRUE,3,0,0,0,4,0,0,0,0,2,1,0,,,,3,2,1,0,,,
met,274617,TRUE,8,0,0,0,6,0,0,0,0,21,6,10,,,,37,2,4,2,,,
ctw,274617,FALSE,6,0,0,0,6,0,0,0,0,12,10,7,,,,29,4,0,2,,,
met,274616,FALSE,3,0,0,0,12,0,0,0,0,14,12,10,2,,,38,1,2,0,0,,
buf,274616,TRUE,4,0,0,0,10,0,0,0,0,11,24,13,3,,,51,1,1,1,0,,
bos,274615,TRUE,8,0,0,0,10,0,0,0,0,12,14,17,,,,43,2,4,2,,,
ctw,274615,FALSE,4,0,0,0,16,0,0,0,0,14,13,12,,,,39,0,0,4,,,
bos,274614,TRUE,2,0,0,0,14,0,0,0,0,13,5,6,,,,24,0,1,1,,,
met,274614,FALSE,1,0,0,0,8,0,0,0,0,7,9,16,,,,32,0,0,1,,,
bos,274613,TRUE,4,0,0,0,8,0,0,0,0,20,10,11,,,,41,1,1,2,,,
ctw,274613,FALSE,0,0,0,0,6,0,0,0,0,11,11,13,,,,35,0,0,0,,,
met,274612,TRUE,3,0,0,0,10,0,0,0,0,11,6,19,,,,36,2,1,0,,,
buf,274612,FALSE,0,0,0,0,12,0,0,0,0,15,15,3,,,,33,0,0,0,,,
buf,274611,TRUE,6,0,0,0,10,0,0,0,0,17,18,36,,,,71,2,1,3,,,
ctw,274611,FALSE,5,0,0,0,8,0,0,0,0,12,13,13,,,,38,0,3,2,,,
met,274610,TRUE,2,0,0,0,7,0,0,0,0,12,6,11,,,,29,1,0,1,,,
ctw,274610,FALSE,0,0,0,0,6,0,0,0,0,6,7,5,,,,18,0,0,0,,,
ctw,274609,TRUE,4,0,0,0,10,0,0,0,0,9,9,11,,,,29,1,1,2,,,
met,274609,FALSE,2,0,0,0,2,0,0,0,0,8,12,6,,,,26,0,2,0,,,
buf,274608,FALSE,1,0,0,0,12,0,0,0,0,20,8,15,,,,43,0,1,0,,,
ctw,274608,TRUE,6,0,0,0,12,0,0,0,0,4,16,7,,,,27,2,2,2,,,
bos,274607,TRUE,3,0,0,0,12,0,0,0,0,11,10,8,1,,,30,2,0,0,0,,
met,274607,FALSE,2,0,0,0,6,0,0,0,0,14,8,10,5,,,37,1,1,0,0,,
ctw,274605,FALSE,2,0,0,0,4,0,0,0,0,1,1,0,,,,2,1,1,0,,,
bos,274605,TRUE,5,0,0,0,6,0,0,0,0,0,3,2,,,,5,0,3,2,,,
buf,274606,TRUE,5,0,0,0,10,0,0,0,0,11,11,11,,,,33,2,1,2,,,
met,274606,FALSE,3,0,0,0,8,0,0,0,0,16,14,7,,,,37,1,1,1,,,
ctw,274604,FALSE,0,0,0,0,6,0,0,0,0,0,0,0,,,,0,0,0,0,,,
met,274604,TRUE,4,0,0,0,6,0,0,0,0,1,2,1,,,,4,1,2,1,,,
bos,274603,TRUE,5,0,0,0,8,0,0,0,0,5,9,15,,,,29,1,2,2,,,
buf,274603,FALSE,0,0,0,0,8,0,0,0,0,20,16,10,,,,46,0,0,0,,,
met,274602,FALSE,3,0,0,0,10,0,0,0,0,13,15,9,5,,,42,1,1,1,0,,
buf,274602,TRUE,4,0,0,0,8,0,0,0,0,7,8,13,0,,,28,0,2,1,0,,
ctw,274600,FALSE,0,0,0,0,8,0,0,0,0,13,7,9,,,,29,0,0,0,,,
bos,274600,TRUE,3,0,0,0,6,0,0,0,0,6,12,11,,,,29,1,0,2,,,
met,274601,TRUE,3,0,0,0,8,0,0,0,0,10,7,13,,,,30,1,0,2,,,
buf,274601,FALSE,2,0,0,0,6,0,0,0,0,6,4,11,,,,21,2,0,0,,,
ctw,274599,TRUE,7,0,0,0,8,0,0,0,0,15,9,11,,,,35,5,0,2,,,
buf,274599,FALSE,5,0,0,0,4,0,0,0,0,15,6,7,,,,28,1,2,2,,,
met,274598,FALSE,1,0,0,0,2,0,0,0,0,13,9,9,,,,31,1,0,0,,,
bos,274598,TRUE,5,0,0,0,6,0,0,0,0,3,10,8,,,,21,0,3,2,,,
ctw,274597,TRUE,4,0,0,0,8,0,0,0,0,7,19,13,,,,39,2,2,0,,,
met,274597,FALSE,2,0,0,0,8,0,0,0,0,10,19,11,,,,40,2,0,0,,,
buf,274596,FALSE,1,0,0,0,4,0,0,0,0,0,0,1,,,,1,0,0,1,,,
bos,274596,TRUE,2,0,0,0,4,0,0,0,0,0,1,0,,,,1,0,1,0,,,
ctw,274595,FALSE,4,0,0,0,8,0,0,0,0,10,8,6,,,,24,1,3,0,,,
buf,274595,TRUE,5,0,0,0,10,0,0,0,0,10,13,9,,,,32,1,1,3,,,
met,274594,FALSE,3,0,0,0,10,0,0,0,0,1,1,1,,,,3,1,1,1,,,
bos,274594,TRUE,6,0,0,0,12,0,0,0,0,1,4,1,,,,6,1,4,1,,,
bos,274593,TRUE,4,0,0,0,6,0,0,0,0,11,15,11,,,,37,0,4,0,,,
buf,274593,FALSE,1,0,0,0,10,0,0,0,0,7,7,7,,,,21,0,0,1,,,
