team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring,season
bos,63996,TRUE,3,0,2,0,10,0,0,0,0,12,9,12,,,,33,1,0,2,,,,2016
buf,63996,FALSE,1,1,5,0.2,4,0,0,0,0,2,9,19,,,,30,0,0,1,,,,2016
buf,63836,FALSE,3,1,4,0.25,8,0,0,0,0,5,5,10,0,,,20,0,1,2,0,,,2016
bos,63836,TRUE,4,1,4,0.25,8,0,0,0,0,9,8,10,7,,,34,0,2,1,1,,,2016
buf,63627,TRUE,4,1,5,0.2,12,0,0,0,0,12,11,5,,,,28,1,1,2,,,,2016
ctw,63627,FALSE,3,1,6,0.167,10,0,0,0,0,8,10,9,,,,27,1,0,2,,,,2016
nyr,63623,FALSE,4,4,8,0.5,16,0,0,0,0,12,6,9,,,,27,1,2,1,,,,2016
bos,63623,TRUE,7,2,8,0.25,14,0,0,0,0,17,20,14,,,,51,3,3,1,,,,2016
buf,63626,TRUE,4,1,4,0.25,14,0,0,0,0,2,1,1,,,,4,2,1,1,,,,2016
ctw,63626,FALSE,1,0,7,0,8,0,0,0,0,,1,,,,,1,0,1,0,,,,2016
buf,63624,FALSE,0,0,5,0,8,0,0,0,0,,,,,,,0,0,0,0,,,,2016
ctw,63624,TRUE,3,1,4,0.25,10,0,0,0,0,,2,1,,,,3,0,2,1,,,,2016
nyr,63628,FALSE,0,0,4,0,14,0,0,0,0,4,7,6,,,,17,0,0,0,,,,2016
bos,63628,TRUE,6,3,7,0.429,8,0,0,0,0,24,14,18,,,,56,2,3,1,,,,2016
nyr,40897,FALSE,2,2,11,0.182,10,0,0,0,0,6,12,7,,,,25,1,1,0,,,,2016
ctw,40897,TRUE,4,1,5,0.2,22,0,0,0,0,8,8,9,,,,25,1,2,1,,,,2016
bos,40896,TRUE,3,0,5,0,10,0,0,0,0,10,15,11,,,,36,0,2,1,,,,2016
buf,40896,FALSE,2,0,5,0,10,0,0,0,0,11,12,4,,,,27,0,2,0,,,,2016
nyr,40894,FALSE,1,0,4,0,4,0,0,0,0,8,9,2,,,,19,0,1,0,,,,2016
buf,40894,TRUE,5,0,2,0,8,0,0,0,0,8,11,14,,,,33,1,1,3,,,,2016
bos,40895,TRUE,5,0,7,0,12,0,0,0,0,18,26,21,,,,65,1,0,4,,,,2016
ctw,40895,FALSE,3,0,6,0,14,0,0,0,0,6,8,8,,,,22,1,2,0,,,,2016
ctw,40892,FALSE,2,0,1,0,8,0,0,0,0,8,3,6,,,,17,0,0,2,,,,2016
bos,40892,TRUE,4,1,5,0.2,2,0,0,0,0,8,24,10,,,,42,1,1,2,,,,2016
