team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring
bos,274727,TRUE,5,0,0,0,6,0,0,0,0,9,9,10,,,,28,1,1,3,,,
met,274727,FALSE,2,0,0,0,12,0,0,0,0,9,14,15,,,,38,1,0,1,,,
ctw,274726,FALSE,1,0,0,0,4,0,0,0,0,6,18,12,,,,36,0,1,0,,,
buf,274726,TRUE,3,0,0,0,8,0,0,0,0,3,6,5,,,,14,1,1,1,,,
met,274725,FALSE,0,0,0,0,8,0,0,0,0,4,7,7,,,,18,0,0,0,,,
ctw,274725,TRUE,4,0,0,0,6,0,0,0,0,8,13,14,,,,35,1,1,2,,,
bos,274724,TRUE,7,0,0,0,4,0,0,0,0,12,11,12,,,,35,2,2,3,,,
min,274724,FALSE,2,0,0,0,6,0,0,0,0,8,14,7,,,,29,1,1,0,,,
bos,274723,TRUE,5,0,0,0,12,0,0,0,0,18,12,12,,,,42,2,1,2,,,
min,274723,FALSE,1,0,0,0,10,0,0,0,0,11,8,8,,,,27,0,1,0,,,
ctw,274722,FALSE,3,0,0,0,8,0,0,0,0,14,12,8,7,,,41,1,2,0,0,,
met,274722,TRUE,4,0,0,0,6,0,0,0,0,13,11,11,4,,,39,2,0,1,0,,
buf,274721,TRUE,5,0,0,0,10,0,0,0,0,12,11,8,,,,31,2,2,1,,,
bos,274721,FALSE,2,0,0,0,6,0,0,0,0,7,8,7,,,,22,1,0,1,,,
ctw,274720,TRUE,2,0,0,0,10,0,0,0,0,8,9,12,,,,29,1,0,1,,,
met,274720,FALSE,1,0,0,0,6,0,0,0,0,5,13,3,,,,21,1,0,0,,,
buf,274719,FALSE,1,0,0,0,4,0,0,0,0,10,11,6,,,,27,0,1,0,,,
bos,274719,TRUE,4,0,0,0,4,0,0,0,0,12,10,8,,,,30,1,1,2,,,
buf,274718,FALSE,1,0,0,0,10,0,0,0,0,12,16,3,,,,31,1,0,0,,,
min,274718,TRUE,2,0,0,0,6,0,0,0,0,16,8,13,,,,37,1,0,1,,,
met,274717,TRUE,3,0,0,0,0,0,0,0,0,11,12,17,,,,40,1,1,1,,,
bos,274717,FALSE,2,0,0,0,8,0,0,0,0,10,9,12,,,,31,0,1,1,,,
buf,274716,FALSE,2,0,0,0,8,0,0,0,0,12,7,11,,,,30,0,1,1,,,
min,274716,TRUE,3,0,0,0,6,0,0,0,0,11,17,12,,,,40,1,0,2,,,
min,274715,TRUE,6,0,0,0,8,0,0,0,0,15,9,8,,,,32,2,1,3,,,
met,274715,FALSE,2,0,0,0,10,0,0,0,0,9,11,11,,,,31,0,1,1,,,
ctw,274714,FALSE,2,0,0,0,4,0,0,0,0,12,10,12,,,,34,0,2,0,,,
bos,274714,TRUE,4,0,0,0,10,0,0,0,0,8,6,5,,,,19,1,1,2,,,
min,274713,TRUE,5,0,0,0,2,0,0,0,0,7,8,17,,,,32,1,2,2,,,
met,274713,FALSE,3,0,0,0,4,0,0,0,0,7,13,5,,,,25,1,1,1,,,
met,274712,FALSE,1,0,0,0,4,0,0,0,0,20,7,11,,,,38,1,0,0,,,
bos,274712,TRUE,5,0,0,0,10,0,0,0,0,3,8,12,,,,23,0,1,4,,,
ctw,274711,FALSE,0,0,0,0,6,0,0,0,0,15,9,10,,,,34,0,0,0,,,
buf,274711,TRUE,7,0,0,0,2,0,0,0,0,10,6,13,,,,29,2,1,4,,,
buf,274710,TRUE,4,0,0,0,6,0,0,0,0,6,3,5,,,,14,2,0,2,,,
ctw,274710,FALSE,0,0,0,0,12,0,0,0,0,13,17,8,,,,38,0,0,0,,,
met,274709,FALSE,1,0,0,0,6,0,0,0,0,6,6,9,,,,21,1,0,0,,,
min,274709,TRUE,3,0,0,0,10,0,0,0,0,6,9,10,,,,25,1,2,0,,,
met,274708,FALSE,0,0,0,0,6,0,0,0,0,10,8,9,,,,27,0,0,0,,,
min,274708,TRUE,4,0,0,0,6,0,0,0,0,8,10,8,,,,26,1,1,2,,,
