team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring
buf,274938,FALSE,1,0,0,0,8,0,0,0,0,6,13,12,1,,,32,1,0,0,0,,
min,274938,TRUE,2,0,0,0,6,0,0,0,0,9,8,7,1,,,25,1,0,0,1,,
met,274937,FALSE,1,0,0,0,8,0,0,0,0,13,12,17,,,,42,0,0,1,,,
min,274937,TRUE,5,0,0,0,10,0,0,0,0,13,13,15,,,,41,2,1,2,,,
bos,274940,FALSE,0,0,0,0,10,0,0,0,0,12,19,8,,,,39,0,0,0,,,
buf,274940,TRUE,4,0,0,0,4,0,0,0,0,10,7,18,,,,35,0,2,2,,,
ctw,274939,FALSE,2,0,0,0,10,0,0,0,0,12,8,9,,,,29,2,0,0,,,
met,274939,TRUE,5,0,0,0,10,0,0,0,0,16,7,8,,,,31,2,0,3,,,
buf,274746,FALSE,3,0,0,0,16,0,0,0,0,5,8,6,1,,,20,1,1,1,0,,
met,274746,TRUE,4,0,0,0,16,0,0,0,0,15,19,10,3,,,47,0,2,1,0,,
min,274747,TRUE,4,0,0,0,8,0,0,0,0,7,11,11,,,,29,1,2,1,,,
ctw,274747,FALSE,1,0,0,0,6,0,0,0,0,13,13,9,,,,35,0,1,0,,,
min,274745,TRUE,2,0,0,0,8,0,0,0,0,13,9,10,,,,32,0,0,2,,,
bos,274745,FALSE,1,0,0,0,10,0,0,0,0,7,12,15,,,,34,0,0,1,,,
buf,274744,TRUE,5,0,0,0,14,0,0,0,0,7,7,11,,,,25,3,1,1,,,
ctw,274744,FALSE,2,0,0,0,12,0,0,0,0,16,10,6,,,,32,0,0,2,,,
bos,274743,TRUE,6,0,0,0,2,0,0,0,0,13,9,4,,,,26,3,3,0,,,
ctw,274743,FALSE,1,0,0,0,4,0,0,0,0,19,11,6,,,,36,1,0,0,,,
met,274742,FALSE,1,0,0,0,8,0,0,0,0,9,16,13,,,,38,0,0,1,,,
buf,274742,TRUE,4,0,0,0,4,0,0,0,0,8,6,6,,,,20,1,2,1,,,
bos,274741,TRUE,8,0,0,0,4,0,0,0,0,11,14,16,,,,41,3,2,3,,,
met,274741,FALSE,1,0,0,0,2,0,0,0,0,12,8,10,,,,30,0,0,1,,,
ctw,274740,FALSE,1,0,0,0,12,0,0,0,0,8,12,6,,,,26,1,0,0,,,
bos,274740,TRUE,3,0,0,0,6,0,0,0,0,8,12,9,,,,29,1,1,1,,,
buf,274739,TRUE,3,0,0,0,8,0,0,0,0,5,12,10,,,,27,1,2,0,,,
met,274739,FALSE,2,0,0,0,8,0,0,0,0,9,17,7,,,,33,0,2,0,,,
bos,274738,FALSE,1,0,0,0,12,0,0,0,0,16,20,12,,,,48,0,1,0,,,
buf,274738,TRUE,4,0,0,0,10,0,0,0,0,9,6,10,,,,25,1,2,1,,,
ctw,274737,FALSE,0,0,0,0,6,0,0,0,0,8,16,17,,,,41,0,0,0,,,
min,274737,TRUE,9,0,0,0,8,0,0,0,0,7,6,14,,,,27,0,2,7,,,
ctw,274736,FALSE,0,0,0,0,2,0,0,0,0,12,16,12,,,,40,0,0,0,,,
min,274736,TRUE,2,0,0,0,4,0,0,0,0,7,4,10,,,,21,0,1,1,,,
min,274735,TRUE,4,0,0,0,14,0,0,0,0,15,6,10,,,,31,3,1,0,,,
ctw,274735,FALSE,1,0,0,0,4,0,0,0,0,16,9,10,,,,35,1,0,0,,,
min,274734,FALSE,4,0,0,0,4,0,0,0,0,13,7,9,,,,29,2,1,1,,,
bos,274734,TRUE,5,0,0,0,4,0,0,0,0,12,12,11,,,,35,5,0,0,,,
met,274733,FALSE,1,0,0,0,25,0,0,0,0,8,12,16,,,,36,1,0,0,,,
buf,274733,TRUE,5,0,0,0,23,0,0,0,0,14,12,4,,,,30,2,2,1,,,
met,274732,TRUE,6,0,0,0,10,0,0,0,0,11,8,9,,,,28,3,2,1,,,
ctw,274732,FALSE,3,0,0,0,10,0,0,0,0,6,7,9,,,,22,1,1,1,,,
bos,274731,FALSE,0,0,0,0,6,0,0,0,0,19,14,7,,,,40,0,0,0,,,
buf,274731,TRUE,5,0,0,0,17,0,0,0,0,10,14,11,,,,35,0,2,3,,,
bos,274730,TRUE,2,0,0,0,14,0,0,0,0,7,8,3,1,,,19,1,0,0,1,,
ctw,274730,FALSE,1,0,0,0,12,0,0,0,0,14,11,10,1,,,36,0,1,0,0,,
min,274729,FALSE,0,0,0,0,12,0,0,0,0,5,12,10,,,,27,0,0,0,,,
buf,274729,TRUE,4,0,0,0,10,0,0,0,0,16,10,11,,,,37,1,2,1,,,
min,274728,TRUE,2,0,0,0,6,0,0,0,0,10,15,11,,,,36,0,1,1,,,
buf,274728,FALSE,1,0,0,0,12,0,0,0,0,8,10,10,,,,28,1,0,0,,,
