team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring,season
min,312837,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,,,2020
bos,312837,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,,,2020
ctw,306651,FALSE,1,0,4,0,15,0.403,15,7,10,8,9,13,,,,30,0,1,0,,,,2020
bos,306651,TRUE,5,1,7,0.143,8,0.597,8,10,7,12,17,18,,,,47,1,1,3,,,,2020
met,306650,FALSE,0,0,3,0,10,0.47,11,12,8,13,4,8,3,,,28,0,0,0,0,,,2020
min,306650,TRUE,1,0,4,0,8,0.53,9,9,12,9,12,4,6,,,31,0,0,0,1,,,2020
ctw,307158,TRUE,5,1,2,0.5,6,0.527,11,10,4,12,7,7,,,,26,2,2,1,,,,2020
buf,307158,FALSE,3,0,3,0,4,0.473,7,4,10,7,12,12,,,,31,1,1,1,,,,2020
buf,268135,TRUE,3,1,7,0.143,14,0.536,12,6,6,7,9,9,,,,25,0,2,1,,,,2020
met,268135,FALSE,1,0,6,0,16,0.464,14,6,6,12,8,17,,,,37,0,0,1,,,,2020
ctw,268136,FALSE,1,0,3,0,8,0.639,12,11,11,12,18,19,,,,49,0,0,1,,,,2020
min,268136,TRUE,3,2,4,0.5,6,0.361,9,11,11,13,17,12,,,,42,1,0,2,,,,2020
ctw,268134,FALSE,3,0,2,0,6,0.576,15,12,15,12,14,11,,,,37,1,2,0,,,,2020
min,268134,TRUE,6,0,3,0,4,0.424,7,15,12,19,20,16,,,,55,3,2,1,,,,2020
buf,268133,FALSE,2,0,4,0,4,0.563,3,1,0,10,11,6,,,,27,0,2,0,,,,2020
met,268133,TRUE,5,0,1,0,10,0.438,4,0,2,17,12,12,,,,41,2,0,3,,,,2020
bos,268132,TRUE,5,2,4,0.5,4,0.654,11,7,5,17,10,9,,,,36,4,1,0,,,,2020
met,268132,FALSE,0,0,2,0,8,0.346,18,5,7,9,9,11,,,,29,0,0,0,,,,2020
min,268131,TRUE,9,1,4,0.25,12,0.571,12,7,4,11,15,10,,,,36,2,6,1,,,,2020
buf,268131,FALSE,3,0,6,0,8,0.429,7,4,7,11,7,2,,,,20,2,0,1,,,,2020
min,268129,TRUE,6,1,6,0.167,4,0.521,2,6,3,12,19,13,,,,44,2,0,4,,,,2020
buf,268129,FALSE,1,0,2,0,12,0.479,11,3,6,13,6,4,,,,23,1,0,0,,,,2020
bos,268130,TRUE,3,1,4,0.25,6,0.39,6,5,2,18,13,18,,,,49,2,0,1,,,,2020
ctw,268130,FALSE,0,0,3,0,8,0.61,8,2,8,6,5,2,,,,13,0,0,0,,,,2020
buf,268128,FALSE,3,1,3,0.333,13,0.491,6,4,1,8,8,12,,,,28,1,1,1,,,,2020
met,268128,TRUE,4,0,6,0,9,0.509,4,1,4,15,9,9,,,,33,2,2,0,,,,2020
buf,268127,TRUE,6,0,3,0,16,0.517,12,8,5,8,7,5,0,,,20,2,3,0,0,2,2,2020
met,268127,FALSE,5,1,3,0.333,16,0.483,10,4,8,12,10,11,6,,,39,1,3,1,0,1,3,2020
ctw,268126,FALSE,1,0,4,0,14,0.371,7,3,5,8,6,9,,,,23,0,0,1,,,,2020
bos,268126,TRUE,4,1,7,0.143,8,0.629,2,5,3,13,20,17,,,,50,0,1,3,,,,2020
ctw,268125,FALSE,2,0,5,0,6,0.632,8,15,9,11,8,6,,,,25,0,1,1,,,,2020
met,268125,TRUE,4,0,3,0,10,0.368,10,9,15,5,13,11,,,,29,1,3,0,,,,2020
bos,268124,TRUE,4,1,1,1,12,0.607,5,1,0,9,8,9,,,,26,1,1,2,,,,2020
min,268124,FALSE,2,0,6,0,2,0.393,4,0,1,12,9,14,,,,35,0,1,1,,,,2020
ctw,268123,TRUE,2,0,3,0,10,0.373,17,17,11,11,9,8,1,,,29,1,0,0,0,1,7,2020
met,268123,FALSE,1,0,5,0,6,0.627,5,11,17,13,5,13,4,,,35,1,0,0,0,0,8,2020
bos,268122,FALSE,3,0,3,0,0,0.547,5,3,3,9,15,15,,,,39,1,0,2,,,,2020
min,268122,TRUE,4,0,0,0,6,0.453,4,3,3,8,12,11,,,,31,1,1,2,,,,2020
met,268121,FALSE,3,0,3,0,10,0.404,13,10,10,3,6,8,,,,17,1,1,1,,,,2020
bos,268121,TRUE,5,1,6,0.167,6,0.596,11,10,10,13,12,16,,,,41,2,0,3,,,,2020
ctw,268120,FALSE,0,0,3,0,20,0.584,10,6,10,8,14,12,,,,34,0,0,0,,,,2020
min,268120,TRUE,7,2,8,0.25,8,0.416,5,10,6,17,18,22,,,,57,2,2,3,,,,2020
ctw,268119,FALSE,1,0,4,0,8,0.519,10,10,15,15,9,8,,,,32,0,1,0,,,,2020
min,268119,TRUE,6,0,3,0,10,0.481,11,15,10,9,10,14,,,,33,3,2,1,,,,2020
ctw,268118,FALSE,2,0,1,0,6,0.4,19,7,12,8,9,12,,,,29,1,0,1,,,,2020
bos,268118,TRUE,4,0,3,0,2,0.6,7,12,7,23,19,15,,,,57,2,1,1,,,,2020
buf,268117,FALSE,1,0,2,0,2,0.583,6,9,8,7,18,4,,,,29,1,0,0,,,,2020
min,268117,TRUE,7,0,1,0,4,0.417,13,8,9,13,6,12,,,,31,3,3,1,,,,2020
buf,268115,FALSE,2,1,3,0.333,6,0.521,9,9,7,8,9,12,,,,29,0,2,0,,,,2020
min,268115,TRUE,8,1,3,0.333,6,0.479,4,7,9,14,12,15,,,,41,1,2,5,,,,2020
ctw,268116,TRUE,4,1,5,0.2,6,0.449,9,19,18,6,8,9,3,,,26,0,2,1,1,,,2020
met,268116,FALSE,3,1,3,0.333,13,0.551,8,18,19,12,12,15,1,,,40,1,0,2,0,,,2020
min,268113,FALSE,1,1,4,0.25,2,0.438,4,11,10,17,34,10,,,,61,0,1,0,,,,2020
met,268113,TRUE,3,0,1,0,8,0.562,11,10,11,10,12,15,,,,37,0,1,2,,,,2020
bos,268114,TRUE,7,4,6,0.667,10,0.621,8,8,2,21,16,15,,,,52,3,3,1,,,,2020
buf,268114,FALSE,2,1,5,0.2,12,0.379,8,2,8,8,9,6,,,,23,2,0,0,,,,2020
min,268111,TRUE,2,1,4,0.25,10,0.463,5,15,9,11,11,5,,,,27,1,1,0,,,,2020
met,268111,FALSE,0,0,5,0,8,0.537,8,9,15,9,12,13,,,,34,0,0,0,,,,2020
bos,268112,TRUE,5,2,5,0.4,14,0.618,9,8,7,15,15,8,,,,38,2,1,2,,,,2020
buf,268112,FALSE,2,1,7,0.143,12,0.382,11,7,8,8,8,12,,,,28,0,1,1,,,,2020
bos,268110,TRUE,7,1,5,0.2,2,0.508,9,15,12,15,22,17,,,,54,2,2,3,,,,2020
ctw,268110,FALSE,2,0,1,0,10,0.492,23,22,22,6,11,13,,,,30,0,1,1,,,,2020
met,268109,TRUE,6,3,7,0.429,25,0.522,8,8,3,17,7,10,,,,34,1,2,3,,,,2020
buf,268109,FALSE,3,0,4,0,34,0.478,9,3,8,9,5,6,,,,20,1,1,1,,,,2020
met,268107,TRUE,7,2,7,0.286,10,0.568,11,7,7,10,16,9,,,,35,2,1,4,,,,2020
buf,268107,FALSE,4,0,5,0,14,0.432,10,7,7,7,6,13,,,,26,0,0,4,,,,2020
bos,268108,TRUE,2,0,2,0,10,0.533,15,10,2,12,17,25,3,,,57,1,0,0,0,1,2,2020
ctw,268108,FALSE,1,0,5,0,4,0.467,25,5,11,7,6,10,1,,,24,0,0,1,0,0,3,2020
min,268105,TRUE,2,0,2,0,4,0.5,11,21,6,16,12,16,,,,44,2,0,0,,,,2020
ctw,268105,FALSE,1,0,2,0,4,0.5,19,19,20,11,10,12,,,,33,1,0,0,,,,2020
bos,268106,TRUE,4,1,8,0.125,19,0.629,5,7,2,15,8,11,,,,34,3,0,1,,,,2020
buf,268106,FALSE,2,2,6,0.333,20,0.371,7,2,7,7,5,8,,,,20,1,0,1,,,,2020
bos,268104,TRUE,4,0,4,0,14,0.641,5,5,2,14,17,10,3,,,44,1,1,1,1,,,2020
buf,268104,FALSE,3,1,6,0.167,20,0.359,14,2,5,9,6,8,0,,,23,1,2,0,0,,,2020
min,268103,TRUE,3,0,4,0,4,0.529,9,12,2,7,18,12,,,,37,0,0,3,,,,2020
ctw,268103,FALSE,0,0,2,0,6,0.471,22,4,10,9,5,6,,,,20,0,0,0,,,,2020
met,268102,FALSE,2,1,3,0.333,6,0.533,5,4,10,7,10,10,,,,27,0,0,2,,,,2020
min,268102,TRUE,5,0,3,0,6,0.467,13,10,4,11,11,13,,,,35,2,2,1,,,,2020
met,268101,TRUE,3,2,2,1,6,0.431,7,14,15,9,10,4,2,,,25,1,1,0,0,1,2,2020
min,268101,FALSE,2,1,3,0.333,4,0.569,8,15,14,13,13,12,4,,,42,0,1,1,0,0,3,2020
met,268100,TRUE,3,0,5,0,10,0.533,7,6,4,12,12,7,,,,31,0,2,1,,,,2020
ctw,268100,FALSE,2,1,5,0.2,10,0.467,17,5,6,2,11,10,,,,23,0,1,1,,,,2020
bos,268099,TRUE,8,0,11,0,22,0.6,8,19,16,11,14,8,,,,33,2,6,0,,,,2020
met,268099,FALSE,3,0,11,0,32,0.4,7,16,17,13,9,9,,,,31,1,2,0,,,,2020
met,268098,TRUE,2,0,5,0,18,0.5,16,1,2,5,8,12,,,,25,1,0,1,,,,2020
ctw,268098,FALSE,1,1,9,0.111,20,0.5,6,2,3,11,10,13,,,,34,0,0,1,,,,2020
met,268096,FALSE,2,0,3,0,8,0.463,15,16,14,8,7,8,,,,23,1,1,0,,,,2020
bos,268096,TRUE,5,0,5,0,6,0.537,9,14,16,13,18,12,,,,43,2,1,2,,,,2020
buf,268097,TRUE,6,2,6,0.333,10,0.388,8,11,13,13,6,14,,,,33,2,2,2,,,,2020
ctw,268097,FALSE,2,1,5,0.2,12,0.612,14,13,10,9,6,8,,,,23,1,1,0,,,,2020
min,268095,FALSE,3,1,8,0.125,14,0.448,9,7,9,16,19,7,,,,42,1,1,1,,,,2020
buf,268095,TRUE,4,2,6,0.333,18,0.552,7,9,7,7,7,15,,,,29,0,0,4,,,,2020
min,268094,TRUE,5,2,5,0.4,12,0.5,15,10,10,13,13,7,,,,33,4,0,1,,,,2020
buf,268094,FALSE,3,1,6,0.167,10,0.5,9,10,10,10,11,10,,,,31,1,1,1,,,,2020
ctw,268093,FALSE,0,0,3,0,2,0.421,26,12,18,9,5,5,,,,19,0,0,0,,,,2020
bos,268093,TRUE,8,1,1,1,6,0.579,8,18,12,20,19,15,,,,54,2,1,5,,,,2020
buf,268092,TRUE,3,0,3,0,12,0.543,10,4,1,4,10,12,,,,26,0,1,2,,,,2020
ctw,268092,FALSE,1,0,6,0,4,0.457,12,7,0,13,12,17,,,,42,0,0,1,,,,2020
buf,268091,FALSE,1,0,4,0,14,0.304,11,6,5,4,9,6,,,,19,0,1,0,,,,2020
bos,268091,TRUE,6,0,7,0,8,0.696,6,5,6,12,14,16,,,,42,2,2,2,,,,2020
met,268089,FALSE,3,1,7,0.143,20,0.452,7,7,9,12,17,17,,,,46,0,1,2,,,,2020
bos,268089,TRUE,5,3,10,0.3,14,0.548,7,9,7,18,12,16,,,,46,2,2,1,,,,2020
min,268090,TRUE,3,2,4,0.5,4,0.515,8,3,4,12,15,18,,,,45,0,1,2,,,,2020
ctw,268090,FALSE,2,1,2,0.5,6,0.485,22,4,6,6,7,10,,,,23,0,0,2,,,,2020
met,268087,FALSE,2,1,5,0.2,12,0.516,16,14,8,5,13,13,,,,31,0,1,1,,,,2020
bos,268087,TRUE,7,3,5,0.6,10,0.484,12,7,13,23,15,23,,,,61,2,2,3,,,,2020
min,268088,TRUE,7,2,3,0.667,10,0.42,8,6,5,15,13,8,,,,36,1,3,3,,,,2020
ctw,268088,FALSE,2,0,5,0,6,0.58,8,8,7,8,6,11,,,,25,0,2,0,,,,2020
min,268085,FALSE,2,1,3,0.333,8,0.258,18,17,15,10,10,17,,,,37,0,1,1,,,,2020
bos,268085,TRUE,5,1,5,0.2,6,0.742,19,15,17,15,10,22,,,,47,2,1,2,,,,2020
ctw,268086,FALSE,4,0,4,0,23,0.533,9,7,2,7,13,11,,,,31,1,1,2,,,,2020
buf,268086,TRUE,6,2,5,0.4,8,0.467,6,2,7,11,9,9,,,,29,4,1,1,,,,2020
min,268083,FALSE,1,0,3,0,4,0.481,9,14,16,14,16,18,,,,48,0,0,1,,,,2020
bos,268083,TRUE,3,0,1,0,8,0.519,14,16,14,13,18,11,,,,42,1,1,1,,,,2020
ctw,268084,FALSE,4,2,12,0.167,16,0.517,9,3,4,11,9,9,1,,,30,3,0,1,0,,,2020
buf,268084,TRUE,5,4,7,0.571,28,0.483,5,4,2,6,9,11,4,,,30,0,2,2,1,,,2020
met,268082,TRUE,4,1,6,0.167,6,0.286,7,12,13,7,10,6,1,,,24,1,1,1,1,,,2020
min,268082,FALSE,3,0,3,0,12,0.714,2,13,12,11,17,12,0,,,40,1,1,1,0,,,2020
buf,268081,FALSE,1,0,5,0,8,0.439,12,7,12,12,10,5,,,,27,1,0,0,,,,2020
bos,268081,TRUE,8,1,4,0.25,10,0.561,7,12,7,11,15,16,,,,42,4,3,1,,,,2020
buf,268079,FALSE,2,0,3,0,6,0.429,20,15,12,4,8,8,,,,20,0,0,2,,,,2020
bos,268079,TRUE,4,0,3,0,6,0.571,6,12,15,19,16,10,,,,45,1,3,0,,,,2020
met,268080,FALSE,2,0,5,0,16,0.667,4,5,4,11,14,12,,,,37,2,0,0,,,,2020
min,268080,TRUE,9,2,6,0.333,12,0.333,11,4,5,11,14,9,,,,34,3,4,2,,,,2020
bos,268077,TRUE,4,0,6,0,10,0.569,3,11,6,14,15,11,,,,40,1,0,3,,,,2020
met,268077,FALSE,2,1,5,0.2,12,0.431,5,7,11,7,11,7,,,,25,0,1,1,,,,2020
buf,268078,TRUE,3,1,3,0.333,12,0.513,9,8,5,4,8,5,,,,17,1,0,2,,,,2020
ctw,268078,FALSE,1,0,6,0,6,0.487,13,5,8,4,14,12,,,,30,0,1,0,,,,2020
