team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring
bos,379254,TRUE,4,2,3,0.667,17,0.684,9,29,32,8,12,10,,,,30,0,3,1,,,
min,379254,FALSE,3,1,2,0.5,4,0.316,8,32,29,7,11,12,,,,30,1,0,2,,,
ctw,378721,FALSE,0,0,1,0,0,0.524,6,0,23,16,17,11,,,,44,0,0,0,,,
min,378721,TRUE,7,0,0,0,2,0.476,2,0,21,10,11,10,,,,31,2,3,2,,,
bos,378722,TRUE,6,0,1,0,2,0.474,15,0,52,8,10,7,,,,25,2,2,2,,,
tor,378722,FALSE,2,0,2,0,2,0.526,11,0,49,10,9,6,,,,25,1,0,1,,,
buf,371880,FALSE,1,0,5,0,14,0.2,18,1,8,12,9,5,,,,26,0,1,0,,,
bos,371880,TRUE,7,2,7,0.286,8,0.8,10,8,1,17,11,10,,,,38,3,1,3,,,
tor,371878,TRUE,6,1,5,0.2,4,0.436,3,3,5,11,16,10,,,,37,0,2,4,,,
ctw,371878,FALSE,0,0,2,0,10,0.564,14,5,3,7,7,11,,,,25,0,0,0,,,
buf,371881,FALSE,0,0,2,0,6,0.423,15,3,4,7,16,8,,,,31,0,0,0,,,
bos,371881,TRUE,6,1,3,0.333,4,0.577,8,4,3,13,11,12,,,,36,0,3,3,,,
min,368729,FALSE,3,2,7,0.286,6,0.379,14,2,7,7,9,15,,,,31,0,2,1,,,
tor,368729,TRUE,4,1,4,0.25,25,0.621,9,7,2,15,16,14,,,,45,1,1,2,,,
bos,368730,FALSE,1,1,6,0.167,10,0.605,4,3,3,12,14,11,,,,37,1,0,0,,,
buf,368730,TRUE,2,1,6,0.167,12,0.395,19,3,3,8,2,13,,,,23,0,1,1,,,
buf,368728,FALSE,2,0,5,0,8,0.483,20,7,5,10,9,7,,,,26,2,0,0,,,
tor,368728,TRUE,4,0,4,0,10,0.517,9,5,7,19,21,9,,,,49,1,2,1,,,
bos,368727,FALSE,1,1,6,0.167,8,0.556,9,6,5,14,10,11,,,,35,1,0,0,,,
ctw,368727,TRUE,4,1,4,0.25,12,0.444,12,5,6,15,2,20,,,,37,0,0,4,,,
tor,368726,TRUE,2,1,5,0.2,12,0.531,9,12,5,13,11,14,,,,38,0,0,2,,,
bos,368726,FALSE,1,1,7,0.143,10,0.469,18,5,12,6,11,8,,,,25,1,0,0,,,
min,368725,TRUE,1,1,4,0.25,8,0.527,20,12,4,8,15,14,,,,37,0,0,1,,,
met,368725,FALSE,0,0,4,0,18,0.473,12,4,12,12,11,15,,,,38,0,0,0,,,
buf,368724,FALSE,1,0,2,0,27,0.436,19,5,6,10,5,6,,,,21,1,0,0,,,
bos,368724,TRUE,5,2,7,0.286,4,0.564,8,6,5,9,20,11,,,,40,2,3,0,,,
met,368720,TRUE,4,1,4,0.25,6,0.521,16,3,6,12,8,8,,,,28,2,1,1,,,
ctw,368720,FALSE,3,0,3,0,8,0.479,12,6,3,10,17,9,,,,36,2,1,0,,,
min,368722,TRUE,6,2,7,0.286,20,0.411,21,4,3,7,9,8,1,,,25,1,2,2,0,2,3
tor,368722,FALSE,5,2,10,0.2,14,0.589,13,3,4,10,14,9,4,,,37,3,2,0,0,1,4
bos,368719,FALSE,1,0,6,0,8,0.647,5,0,0,14,12,11,,,,37,1,0,0,,,
min,368719,TRUE,2,0,4,0,12,0.353,9,0,0,6,11,2,,,,19,1,1,0,,,
tor,368723,FALSE,0,0,3,0,6,0.643,7,1,2,13,14,13,,,,40,0,0,0,,,
met,368723,TRUE,3,0,3,0,6,0.357,14,2,1,10,5,4,,,,19,2,0,1,,,
