game_id,link,game_type_abbreviation,season_full,game_date_time,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_name,venue_link,venue_id,content_link,game_type,game_date,season,PBP,team_box,player_box
2022020125,/api/v1/game/2022020125/feed/live,R,20222023,2022-10-29T02:00:00Z,Final,7,Final,7,FALSE,1,5,Pittsburgh Penguins,/api/v1/teams/5,5,23,Vancouver Canucks,/api/v1/teams/23,Rogers Arena,/api/v1/venues/5073,5073,/api/v1/game/2022020125/content,REG,2022-10-29,2023,TRUE,TRUE,TRUE
2022020126,/api/v1/game/2022020126/feed/live,R,20222023,2022-10-29T02:30:00Z,Final,7,Final,7,FALSE,3,52,Winnipeg Jets,/api/v1/teams/52,2,53,Arizona Coyotes,/api/v1/teams/53,Mullett Arena,/api/v1/venues/null,,/api/v1/game/2022020126/content,REG,2022-10-29,2023,TRUE,TRUE,TRUE
2022020115,/api/v1/game/2022020115/feed/live,R,20222023,2022-10-28T00:00:00Z,Final,7,Final,7,FALSE,2,19,St. Louis Blues,/api/v1/teams/19,6,18,Nashville Predators,/api/v1/teams/18,Bridgestone Arena,/api/v1/venues/5030,5030,/api/v1/game/2022020115/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020116,/api/v1/game/2022020116/feed/live,R,20222023,2022-10-28T00:30:00Z,Final,7,Final,7,FALSE,6,22,Edmonton Oilers,/api/v1/teams/22,5,16,Chicago Blackhawks,/api/v1/teams/16,United Center,/api/v1/venues/5092,5092,/api/v1/game/2022020116/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020117,/api/v1/game/2022020117/feed/live,R,20222023,2022-10-28T00:30:00Z,Final,7,Final,7,FALSE,0,15,Washington Capitals,/api/v1/teams/15,2,25,Dallas Stars,/api/v1/teams/25,American Airlines Center,/api/v1/venues/5019,5019,/api/v1/game/2022020117/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020118,/api/v1/game/2022020118/feed/live,R,20222023,2022-10-28T02:00:00Z,Final,7,Final,7,FALSE,5,23,Vancouver Canucks,/api/v1/teams/23,4,55,Seattle Kraken,/api/v1/teams/55,Climate Pledge Arena,/api/v1/venues/null,,/api/v1/game/2022020118/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020119,/api/v1/game/2022020119/feed/live,R,20222023,2022-10-28T02:30:00Z,Final,7,Final,7,FALSE,3,10,Toronto Maple Leafs,/api/v1/teams/10,4,28,San Jose Sharks,/api/v1/teams/28,SAP Center at San Jose,/api/v1/venues/null,,/api/v1/game/2022020119/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020120,/api/v1/game/2022020120/feed/live,R,20222023,2022-10-28T02:30:00Z,Final,7,Final,7,FALSE,6,52,Winnipeg Jets,/api/v1/teams/52,4,26,Los Angeles Kings,/api/v1/teams/26,Crypto.com Arena,/api/v1/venues/null,,/api/v1/game/2022020120/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020121,/api/v1/game/2022020121/feed/live,R,20222023,2022-10-28T22:00:00Z,Final,7,Final,7,FALSE,0,24,Anaheim Ducks,/api/v1/teams/24,4,54,Vegas Golden Knights,/api/v1/teams/54,T-Mobile Arena,/api/v1/venues/5178,5178,/api/v1/game/2022020121/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020122,/api/v1/game/2022020122/feed/live,R,20222023,2022-10-28T23:00:00Z,Final,7,Final,7,FALSE,4,6,Boston Bruins,/api/v1/teams/6,0,29,Columbus Blue Jackets,/api/v1/teams/29,Nationwide Arena,/api/v1/venues/5059,5059,/api/v1/game/2022020122/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020123,/api/v1/game/2022020123/feed/live,R,20222023,2022-10-28T23:00:00Z,Final,7,Final,7,FALSE,0,21,Colorado Avalanche,/api/v1/teams/21,1,1,New Jersey Devils,/api/v1/teams/1,Prudential Center,/api/v1/venues/null,,/api/v1/game/2022020123/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020124,/api/v1/game/2022020124/feed/live,R,20222023,2022-10-28T23:00:00Z,Final,7,Final,7,FALSE,6,2,New York Islanders,/api/v1/teams/2,2,12,Carolina Hurricanes,/api/v1/teams/12,PNC Arena,/api/v1/venues/5066,5066,/api/v1/game/2022020124/content,REG,2022-10-28,2023,TRUE,TRUE,TRUE
2022020109,/api/v1/game/2022020109/feed/live,R,20222023,2022-10-27T00:00:00Z,Final,7,Final,7,FALSE,3,22,Edmonton Oilers,/api/v1/teams/22,1,19,St. Louis Blues,/api/v1/teams/19,Enterprise Center,/api/v1/venues/5076,5076,/api/v1/game/2022020109/content,REG,2022-10-27,2023,TRUE,TRUE,TRUE
2022020110,/api/v1/game/2022020110/feed/live,R,20222023,2022-10-27T02:00:00Z,Final,7,Final,7,FALSE,4,14,Tampa Bay Lightning,/api/v1/teams/14,2,24,Anaheim Ducks,/api/v1/teams/24,Honda Center,/api/v1/venues/5046,5046,/api/v1/game/2022020110/content,REG,2022-10-27,2023,TRUE,TRUE,TRUE
2022020111,/api/v1/game/2022020111/feed/live,R,20222023,2022-10-27T23:00:00Z,Final,7,Final,7,FALSE,1,17,Detroit Red Wings,/api/v1/teams/17,5,6,Boston Bruins,/api/v1/teams/6,TD Garden,/api/v1/venues/5085,5085,/api/v1/game/2022020111/content,REG,2022-10-27,2023,TRUE,TRUE,TRUE
