game_id,link,game_type_abbreviation,season_full,game_date,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_name,venue_link,venue_id,content_link,game_type
2016020995,/api/v1/game/2016020995/feed/live,R,20162017,2017-03-11T00:00:00Z,Final,7,Final,7,FALSE,3,7,Buffalo Sabres,/api/v1/teams/7,4,29,Columbus Blue Jackets,/api/v1/teams/29,Nationwide Arena,/api/v1/venues/5059,5059,/api/v1/game/2016020995/content,REG
2016020996,/api/v1/game/2016020996/feed/live,R,20162017,2017-03-11T00:30:00Z,Final,7,Final,7,FALSE,2,16,Chicago Blackhawks,/api/v1/teams/16,4,17,Detroit Red Wings,/api/v1/teams/17,Joe Louis Arena,/api/v1/venues/5047,5047,/api/v1/game/2016020996/content,REG
2016020997,/api/v1/game/2016020997/feed/live,R,20162017,2017-03-11T00:30:00Z,Final,7,Final,7,FALSE,7,30,Minnesota Wild,/api/v1/teams/30,4,13,Florida Panthers,/api/v1/teams/13,BB&T Center,/api/v1/venues/null,,/api/v1/game/2016020997/content,REG
2016020998,/api/v1/game/2016020998/feed/live,R,20162017,2017-03-11T01:00:00Z,Final,7,Final,7,FALSE,3,24,Anaheim Ducks,/api/v1/teams/24,4,19,St. Louis Blues,/api/v1/teams/19,Scottrade Center,/api/v1/venues/null,,/api/v1/game/2016020998/content,REG
2016020999,/api/v1/game/2016020999/feed/live,R,20162017,2017-03-11T02:00:00Z,Final,7,Final,7,FALSE,3,5,Pittsburgh Penguins,/api/v1/teams/5,2,22,Edmonton Oilers,/api/v1/teams/22,Rogers Place,/api/v1/venues/5100,5100,/api/v1/game/2016020999/content,REG
2016021000,/api/v1/game/2016021000/feed/live,R,20162017,2017-03-11T18:00:00Z,Final,7,Final,7,FALSE,1,4,Philadelphia Flyers,/api/v1/teams/4,2,6,Boston Bruins,/api/v1/teams/6,TD Garden,/api/v1/venues/5085,5085,/api/v1/game/2016021000/content,REG
2016021001,/api/v1/game/2016021001/feed/live,R,20162017,2017-03-11T21:00:00Z,Final,7,Final,7,FALSE,3,18,Nashville Predators,/api/v1/teams/18,1,28,San Jose Sharks,/api/v1/teams/28,SAP Center at San Jose,/api/v1/venues/null,,/api/v1/game/2016021001/content,REG
2016021006,/api/v1/game/2016021006/feed/live,R,20162017,2017-03-12T00:00:00Z,Final,7,Final,7,FALSE,4,9,Ottawa Senators,/api/v1/teams/9,2,21,Colorado Avalanche,/api/v1/teams/21,Pepsi Center,/api/v1/venues/null,,/api/v1/game/2016021006/content,REG
2016021005,/api/v1/game/2016021005/feed/live,R,20162017,2017-03-12T00:00:00Z,Final,7,Final,7,FALSE,3,20,Calgary Flames,/api/v1/teams/20,0,52,Winnipeg Jets,/api/v1/teams/52,MTS Centre,/api/v1/venues/null,,/api/v1/game/2016021005/content,REG
2016021002,/api/v1/game/2016021002/feed/live,R,20162017,2017-03-12T00:00:00Z,Final,7,Final,7,FALSE,3,29,Columbus Blue Jackets,/api/v1/teams/29,5,7,Buffalo Sabres,/api/v1/teams/7,KeyBank Center,/api/v1/venues/5039,5039,/api/v1/game/2016021002/content,REG
