game_id,season_full,date,home_name,away_name,home_final_score,away_final_score,game_type
2005020001,20052006,2005-10-05,Boston Bruins,Montréal Canadiens,1,2,REG
2005020002,20052006,2005-10-05,Buffalo Sabres,New York Islanders,6,4,REG
2005020003,20052006,2005-10-05,Philadelphia Flyers,New York Rangers,3,5,REG
2005020004,20052006,2005-10-05,Washington Capitals,Columbus Blue Jackets,3,2,REG
2005020005,20052006,2005-10-05,Florida Panthers,Atlanta Thrashers,2,0,REG
2005020007,20052006,2005-10-05,New Jersey Devils,Pittsburgh Penguins,5,1,REG
2005020008,20052006,2005-10-05,Tampa Bay Lightning,Carolina Hurricanes,5,2,REG
2005020009,20052006,2005-10-05,Detroit Red Wings,St. Louis Blues,5,1,REG
2005020010,20052006,2005-10-05,Nashville Predators,San Jose Sharks,3,2,REG
2005020012,20052006,2005-10-05,Minnesota Wild,Calgary Flames,6,3,REG
2005020006,20052006,2005-10-05,Toronto Maple Leafs,Ottawa Senators,2,3,REG
2005020011,20052006,2005-10-05,Chicago Blackhawks,Anaheim Ducks,3,5,REG
2005020013,20052006,2005-10-05,Dallas Stars,Los Angeles Kings,5,4,REG
2005020014,20052006,2005-10-05,Edmonton Oilers,Colorado Avalanche,4,3,REG
2005020015,20052006,2005-10-05,Vancouver Canucks,Phoenix Coyotes,3,2,REG
2005020016,20052006,2005-10-06,New York Rangers,Montréal Canadiens,3,4,REG
2005020017,20052006,2005-10-06,St. Louis Blues,Detroit Red Wings,3,4,REG
2005020018,20052006,2005-10-06,Los Angeles Kings,Phoenix Coyotes,3,2,REG
2005020019,20052006,2005-10-07,Philadelphia Flyers,New Jersey Devils,5,2,REG
2005020020,20052006,2005-10-07,Washington Capitals,Atlanta Thrashers,3,7,REG
2005020021,20052006,2005-10-07,Carolina Hurricanes,Pittsburgh Penguins,3,2,REG
2005020022,20052006,2005-10-07,Columbus Blue Jackets,Calgary Flames,1,3,REG
2005020023,20052006,2005-10-07,Florida Panthers,Tampa Bay Lightning,2,0,REG
2005020024,20052006,2005-10-07,Buffalo Sabres,Boston Bruins,4,1,REG
2005020025,20052006,2005-10-07,Chicago Blackhawks,San Jose Sharks,6,3,REG
2005020026,20052006,2005-10-08,Toronto Maple Leafs,Montréal Canadiens,4,5,REG
2005020027,20052006,2005-10-08,Ottawa Senators,Buffalo Sabres,5,0,REG
2005020028,20052006,2005-10-08,New York Islanders,Carolina Hurricanes,3,2,REG
2005020029,20052006,2005-10-08,Atlanta Thrashers,Washington Capitals,8,1,REG
2005020030,20052006,2005-10-08,New Jersey Devils,New York Rangers,3,2,REG
2005020031,20052006,2005-10-08,Pittsburgh Penguins,Boston Bruins,6,7,REG
2005020032,20052006,2005-10-08,Tampa Bay Lightning,Florida Panthers,2,1,REG
2005020033,20052006,2005-10-08,St. Louis Blues,San Jose Sharks,6,7,REG
