game_id,season_full,date,home_name,away_name,home_final_score,away_final_score,game_type
2020020001,20202021,2021-01-13,Philadelphia Flyers,Pittsburgh Penguins,6,3,REG
2020020003,20202021,2021-01-13,Toronto Maple Leafs,Montréal Canadiens,5,4,REG
2020020002,20202021,2021-01-13,Tampa Bay Lightning,Chicago Blackhawks,5,1,REG
2020020004,20202021,2021-01-13,Edmonton Oilers,Vancouver Canucks,3,5,REG
2020020005,20202021,2021-01-13,Colorado Avalanche,St. Louis Blues,1,4,REG
2020020006,20202021,2021-01-14,Buffalo Sabres,Washington Capitals,4,6,REG
2020020007,20202021,2021-01-14,New Jersey Devils,Boston Bruins,2,3,REG
2020020008,20202021,2021-01-14,New York Rangers,New York Islanders,0,4,REG
2020020010,20202021,2021-01-14,Detroit Red Wings,Carolina Hurricanes,0,3,REG
2020020011,20202021,2021-01-14,Nashville Predators,Columbus Blue Jackets,3,1,REG
2020020012,20202021,2021-01-14,Winnipeg Jets,Calgary Flames,4,3,REG
2020020013,20202021,2021-01-14,Edmonton Oilers,Vancouver Canucks,5,2,REG
2020020014,20202021,2021-01-14,Arizona Coyotes,San Jose Sharks,3,4,REG
2020020015,20202021,2021-01-14,Vegas Golden Knights,Anaheim Ducks,5,2,REG
2020020016,20202021,2021-01-14,Los Angeles Kings,Minnesota Wild,3,4,REG
2020020017,20202021,2021-01-15,Buffalo Sabres,Washington Capitals,1,2,REG
2020020018,20202021,2021-01-15,Philadelphia Flyers,Pittsburgh Penguins,5,2,REG
2020020019,20202021,2021-01-15,Tampa Bay Lightning,Chicago Blackhawks,5,2,REG
2020020021,20202021,2021-01-15,Ottawa Senators,Toronto Maple Leafs,5,3,REG
2020020022,20202021,2021-01-15,Colorado Avalanche,St. Louis Blues,8,0,REG
2020020023,20202021,2021-01-16,New Jersey Devils,Boston Bruins,2,1,REG
2020020030,20202021,2021-01-16,Arizona Coyotes,San Jose Sharks,5,3,REG
2020020029,20202021,2021-01-16,Edmonton Oilers,Montréal Canadiens,1,5,REG
2020020024,20202021,2021-01-16,New York Rangers,New York Islanders,5,0,REG
2020020025,20202021,2021-01-16,Detroit Red Wings,Carolina Hurricanes,4,2,REG
2020020027,20202021,2021-01-16,Ottawa Senators,Toronto Maple Leafs,2,3,REG
2020020026,20202021,2021-01-16,Nashville Predators,Columbus Blue Jackets,5,2,REG
2020020032,20202021,2021-01-16,Los Angeles Kings,Minnesota Wild,3,4,REG
