game_id,link,game_type_abbreviation,season_full,game_date,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_id,venue_name,venue_link,content_link,game_type
2017020001,/api/v1/game/2017020001/feed/live,R,20172018,2017-10-04T23:00:00Z,Final,7,Final,7,FALSE,7,10,Toronto Maple Leafs,/api/v1/teams/10,2,52,Winnipeg Jets,/api/v1/teams/52,,Bell MTS Place,/api/v1/venues/null,/api/v1/game/2017020001/content,REG
2017020002,/api/v1/game/2017020002/feed/live,R,20172018,2017-10-05T00:00:00Z,Final,7,Final,7,FALSE,5,19,St. Louis Blues,/api/v1/teams/19,4,5,Pittsburgh Penguins,/api/v1/teams/5,5034,PPG Paints Arena,/api/v1/venues/5034,/api/v1/game/2017020002/content,REG
2017020003,/api/v1/game/2017020003/feed/live,R,20172018,2017-10-05T02:00:00Z,Final,7,Final,7,FALSE,0,20,Calgary Flames,/api/v1/teams/20,3,22,Edmonton Oilers,/api/v1/teams/22,5100,Rogers Place,/api/v1/venues/5100,/api/v1/game/2017020003/content,REG
2017020004,/api/v1/game/2017020004/feed/live,R,20172018,2017-10-05T02:30:00Z,Final,7,Final,7,FALSE,5,4,Philadelphia Flyers,/api/v1/teams/4,3,28,San Jose Sharks,/api/v1/teams/28,,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2017020004/content,REG
2017020005,/api/v1/game/2017020005/feed/live,R,20172018,2017-10-05T23:00:00Z,Final,7,Final,7,FALSE,3,18,Nashville Predators,/api/v1/teams/18,4,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2017020005/content,REG
2017020006,/api/v1/game/2017020006/feed/live,R,20172018,2017-10-05T23:00:00Z,Final,7,Final,7,FALSE,3,8,Montréal Canadiens,/api/v1/teams/8,2,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2017020006/content,REG
2017020007,/api/v1/game/2017020007/feed/live,R,20172018,2017-10-05T23:00:00Z,Final,7,Final,7,FALSE,4,21,Colorado Avalanche,/api/v1/teams/21,2,3,New York Rangers,/api/v1/teams/3,5054,Madison Square Garden,/api/v1/venues/5054,/api/v1/game/2017020007/content,REG
2017020008,/api/v1/game/2017020008/feed/live,R,20172018,2017-10-05T23:30:00Z,Final,7,Final,7,FALSE,5,15,Washington Capitals,/api/v1/teams/15,4,9,Ottawa Senators,/api/v1/teams/9,5031,Canadian Tire Centre,/api/v1/venues/5031,/api/v1/game/2017020008/content,REG
2017020009,/api/v1/game/2017020009/feed/live,R,20172018,2017-10-05T23:30:00Z,Final,7,Final,7,FALSE,2,30,Minnesota Wild,/api/v1/teams/30,4,17,Detroit Red Wings,/api/v1/teams/17,5145,Little Caesars Arena,/api/v1/venues/5145,/api/v1/game/2017020009/content,REG
2017020010,/api/v1/game/2017020010/feed/live,R,20172018,2017-10-06T00:30:00Z,Final,7,Final,7,FALSE,1,5,Pittsburgh Penguins,/api/v1/teams/5,10,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2017020010/content,REG
2017020011,/api/v1/game/2017020011/feed/live,R,20172018,2017-10-06T02:00:00Z,Final,7,Final,7,FALSE,4,53,Arizona Coyotes,/api/v1/teams/53,5,24,Anaheim Ducks,/api/v1/teams/24,5046,Honda Center,/api/v1/venues/5046,/api/v1/game/2017020011/content,REG
2017020012,/api/v1/game/2017020012/feed/live,R,20172018,2017-10-06T02:00:00Z,Final,7,Final,7,FALSE,0,4,Philadelphia Flyers,/api/v1/teams/4,2,26,Los Angeles Kings,/api/v1/teams/26,5081,STAPLES Center,/api/v1/venues/5081,/api/v1/game/2017020012/content,REG
2017020013,/api/v1/game/2017020013/feed/live,R,20172018,2017-10-06T23:00:00Z,Final,7,Final,7,FALSE,0,2,New York Islanders,/api/v1/teams/2,5,29,Columbus Blue Jackets,/api/v1/teams/29,5059,Nationwide Arena,/api/v1/venues/5059,/api/v1/game/2017020013/content,REG
2017020014,/api/v1/game/2017020014/feed/live,R,20172018,2017-10-06T23:30:00Z,Final,7,Final,7,FALSE,3,13,Florida Panthers,/api/v1/teams/13,5,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2017020014/content,REG
2017020015,/api/v1/game/2017020015/feed/live,R,20172018,2017-10-07T00:30:00Z,Final,7,Final,7,FALSE,2,54,Vegas Golden Knights,/api/v1/teams/54,1,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2017020015/content,REG
2017020019,/api/v1/game/2017020019/feed/live,R,20172018,2017-10-07T18:00:00Z,Final,7,Final,7,FALSE,1,21,Colorado Avalanche,/api/v1/teams/21,4,1,New Jersey Devils,/api/v1/teams/1,,Prudential Center,/api/v1/venues/null,/api/v1/game/2017020019/content,REG
2017020016,/api/v1/game/2017020016/feed/live,R,20172018,2017-10-07T23:00:00Z,Final,7,Final,7,FALSE,5,3,New York Rangers,/api/v1/teams/3,8,10,Toronto Maple Leafs,/api/v1/teams/10,5015,Air Canada Centre,/api/v1/venues/5015,/api/v1/game/2017020016/content,REG
