game_id,season_full,date,home_name,away_name,home_final_score,away_final_score,game_type
2013020001,20132014,2013-10-01,Montréal Canadiens,Toronto Maple Leafs,3,4,REG
2013020002,20132014,2013-10-01,Chicago Blackhawks,Washington Capitals,6,4,REG
2013020003,20132014,2013-10-01,Edmonton Oilers,Winnipeg Jets,4,5,REG
2013020004,20132014,2013-10-02,Philadelphia Flyers,Toronto Maple Leafs,1,3,REG
2013020005,20132014,2013-10-02,Detroit Red Wings,Buffalo Sabres,2,1,REG
2013020006,20132014,2013-10-02,Colorado Avalanche,Anaheim Ducks,6,1,REG
2013020007,20132014,2013-10-03,Boston Bruins,Tampa Bay Lightning,3,1,REG
2013020008,20132014,2013-10-03,Pittsburgh Penguins,New Jersey Devils,3,0,REG
2013020009,20132014,2013-10-03,Washington Capitals,Calgary Flames,5,4,REG
2013020011,20132014,2013-10-03,Minnesota Wild,Los Angeles Kings,2,3,REG
2013020010,20132014,2013-10-03,St. Louis Blues,Nashville Predators,4,2,REG
2013020012,20132014,2013-10-03,Dallas Stars,Florida Panthers,2,4,REG
2013020013,20132014,2013-10-03,Phoenix Coyotes,New York Rangers,4,1,REG
2013020014,20132014,2013-10-03,San Jose Sharks,Vancouver Canucks,4,1,REG
2013020015,20132014,2013-10-04,Buffalo Sabres,Ottawa Senators,0,1,REG
2013020016,20132014,2013-10-04,New Jersey Devils,New York Islanders,3,4,REG
2013020017,20132014,2013-10-04,Carolina Hurricanes,Detroit Red Wings,2,3,REG
2013020018,20132014,2013-10-04,Columbus Blue Jackets,Calgary Flames,3,4,REG
2013020019,20132014,2013-10-04,Winnipeg Jets,Los Angeles Kings,5,3,REG
2013020020,20132014,2013-10-04,Colorado Avalanche,Nashville Predators,3,1,REG
2013020021,20132014,2013-10-05,Boston Bruins,Detroit Red Wings,4,1,REG
2013020022,20132014,2013-10-05,Toronto Maple Leafs,Ottawa Senators,5,4,REG
2013020023,20132014,2013-10-05,Montréal Canadiens,Philadelphia Flyers,4,1,REG
2013020024,20132014,2013-10-05,New York Islanders,Columbus Blue Jackets,2,3,REG
2013020025,20132014,2013-10-05,Pittsburgh Penguins,Buffalo Sabres,4,1,REG
2013020026,20132014,2013-10-05,Chicago Blackhawks,Tampa Bay Lightning,2,3,REG
2013020027,20132014,2013-10-05,St. Louis Blues,Florida Panthers,7,0,REG
2013020028,20132014,2013-10-05,Dallas Stars,Washington Capitals,2,1,REG
2013020029,20132014,2013-10-05,Minnesota Wild,Anaheim Ducks,3,4,REG
2013020030,20132014,2013-10-05,Vancouver Canucks,Edmonton Oilers,6,2,REG
2013020031,20132014,2013-10-05,San Jose Sharks,Phoenix Coyotes,4,1,REG
2013020032,20132014,2013-10-06,Carolina Hurricanes,Philadelphia Flyers,2,1,REG
2013020034,20132014,2013-10-06,Calgary Flames,Vancouver Canucks,4,5,REG
2013020033,20132014,2013-10-06,Winnipeg Jets,Anaheim Ducks,2,3,REG
2013020035,20132014,2013-10-07,Edmonton Oilers,New Jersey Devils,5,4,REG
2013020036,20132014,2013-10-07,Los Angeles Kings,New York Rangers,1,3,REG
2013020037,20132014,2013-10-08,Toronto Maple Leafs,Colorado Avalanche,1,2,REG
2013020038,20132014,2013-10-08,New York Islanders,Phoenix Coyotes,6,1,REG
2013020039,20132014,2013-10-08,Philadelphia Flyers,Florida Panthers,2,1,REG
2013020040,20132014,2013-10-08,Pittsburgh Penguins,Carolina Hurricanes,5,2,REG
2013020041,20132014,2013-10-08,Buffalo Sabres,Tampa Bay Lightning,2,3,REG
2013020042,20132014,2013-10-08,Nashville Predators,Minnesota Wild,3,2,REG
2013020043,20132014,2013-10-08,Vancouver Canucks,New Jersey Devils,3,2,REG
2013020044,20132014,2013-10-08,San Jose Sharks,New York Rangers,9,2,REG
2013020046,20132014,2013-10-09,Calgary Flames,Montréal Canadiens,3,2,REG
2013020045,20132014,2013-10-09,St. Louis Blues,Chicago Blackhawks,3,2,REG
2013020047,20132014,2013-10-09,Los Angeles Kings,Ottawa Senators,4,3,REG
2013020048,20132014,2013-10-10,Boston Bruins,Colorado Avalanche,0,2,REG
2013020049,20132014,2013-10-10,Buffalo Sabres,Columbus Blue Jackets,1,4,REG
2013020050,20132014,2013-10-10,Washington Capitals,Carolina Hurricanes,2,3,REG
