game_id,season_full,date,home_name,away_name,home_final_score,away_final_score,game_type
2010020003,20102011,2010-10-07,Minnesota Wild,Carolina Hurricanes,3,4,REG
2010020001,20102011,2010-10-07,Toronto Maple Leafs,Montréal Canadiens,3,2,REG
2010020002,20102011,2010-10-07,Pittsburgh Penguins,Philadelphia Flyers,2,3,REG
2010020004,20102011,2010-10-07,Colorado Avalanche,Chicago Blackhawks,4,3,REG
2010020005,20102011,2010-10-07,Edmonton Oilers,Calgary Flames,4,0,REG
2010020008,20102011,2010-10-08,Carolina Hurricanes,Minnesota Wild,2,1,REG
2010020006,20102011,2010-10-08,Columbus Blue Jackets,San Jose Sharks,2,3,REG
2010020007,20102011,2010-10-08,New Jersey Devils,Dallas Stars,3,4,REG
2010020009,20102011,2010-10-08,Detroit Red Wings,Anaheim Ducks,4,0,REG
2010020010,20102011,2010-10-08,Ottawa Senators,Buffalo Sabres,1,2,REG
2010020011,20102011,2010-10-08,Atlanta Thrashers,Washington Capitals,4,2,REG
2010020012,20102011,2010-10-09,Boston Bruins,Phoenix Coyotes,2,5,REG
2010020022,20102011,2010-10-09,San Jose Sharks,Columbus Blue Jackets,2,3,REG
2010020013,20102011,2010-10-09,Buffalo Sabres,New York Rangers,3,6,REG
2010020014,20102011,2010-10-09,Toronto Maple Leafs,Ottawa Senators,5,1,REG
2010020015,20102011,2010-10-09,New York Islanders,Dallas Stars,4,5,REG
2010020016,20102011,2010-10-09,Pittsburgh Penguins,Montréal Canadiens,2,3,REG
2010020017,20102011,2010-10-09,Washington Capitals,New Jersey Devils,7,2,REG
2010020018,20102011,2010-10-09,Tampa Bay Lightning,Atlanta Thrashers,5,3,REG
2010020019,20102011,2010-10-09,St. Louis Blues,Philadelphia Flyers,2,1,REG
2010020020,20102011,2010-10-09,Nashville Predators,Anaheim Ducks,4,1,REG
2010020021,20102011,2010-10-09,Chicago Blackhawks,Detroit Red Wings,2,3,REG
2010020023,20102011,2010-10-09,Vancouver Canucks,Los Angeles Kings,1,2,REG
2010020024,20102011,2010-10-10,Phoenix Coyotes,Boston Bruins,0,3,REG
2010020025,20102011,2010-10-10,Calgary Flames,Los Angeles Kings,3,1,REG
2010020026,20102011,2010-10-10,Edmonton Oilers,Florida Panthers,3,2,REG
2010020028,20102011,2010-10-11,New York Islanders,New York Rangers,6,4,REG
2010020029,20102011,2010-10-11,St. Louis Blues,Anaheim Ducks,5,1,REG
2010020027,20102011,2010-10-11,New Jersey Devils,Pittsburgh Penguins,1,3,REG
2010020030,20102011,2010-10-11,Buffalo Sabres,Chicago Blackhawks,3,4,REG
2010020031,20102011,2010-10-11,Philadelphia Flyers,Colorado Avalanche,4,2,REG
2010020032,20102011,2010-10-11,Washington Capitals,Ottawa Senators,3,2,REG
2010020033,20102011,2010-10-11,Vancouver Canucks,Florida Panthers,2,1,REG
2010020034,20102011,2010-10-12,Detroit Red Wings,Colorado Avalanche,4,5,REG
2010020035,20102011,2010-10-12,Los Angeles Kings,Atlanta Thrashers,3,1,REG
2010020036,20102011,2010-10-13,Buffalo Sabres,New Jersey Devils,0,1,REG
2010020037,20102011,2010-10-13,Washington Capitals,New York Islanders,2,1,REG
2010020038,20102011,2010-10-13,Montréal Canadiens,Tampa Bay Lightning,3,4,REG
2010020039,20102011,2010-10-13,Pittsburgh Penguins,Toronto Maple Leafs,3,4,REG
2010020040,20102011,2010-10-13,Chicago Blackhawks,Nashville Predators,2,3,REG
2010020041,20102011,2010-10-13,Anaheim Ducks,Vancouver Canucks,4,3,REG
2010020042,20102011,2010-10-14,Philadelphia Flyers,Tampa Bay Lightning,2,3,REG
2010020043,20102011,2010-10-14,Ottawa Senators,Carolina Hurricanes,3,2,REG
2010020044,20102011,2010-10-14,Nashville Predators,St. Louis Blues,4,3,REG
2010020045,20102011,2010-10-14,Minnesota Wild,Edmonton Oilers,4,2,REG
2010020046,20102011,2010-10-14,Dallas Stars,Detroit Red Wings,4,1,REG
2010020047,20102011,2010-10-14,Calgary Flames,Florida Panthers,0,3,REG
2010020048,20102011,2010-10-15,New Jersey Devils,Colorado Avalanche,2,3,REG
2010020049,20102011,2010-10-15,New York Rangers,Toronto Maple Leafs,3,4,REG
2010020050,20102011,2010-10-15,Pittsburgh Penguins,New York Islanders,3,2,REG
2010020051,20102011,2010-10-15,Columbus Blue Jackets,Chicago Blackhawks,2,5,REG
2010020052,20102011,2010-10-15,Buffalo Sabres,Montréal Canadiens,1,2,REG
2010020053,20102011,2010-10-15,Anaheim Ducks,Atlanta Thrashers,4,5,REG
2010020054,20102011,2010-10-15,Los Angeles Kings,Vancouver Canucks,4,1,REG
2010020058,20102011,2010-10-16,Philadelphia Flyers,Pittsburgh Penguins,1,5,REG
2010020055,20102011,2010-10-16,Montréal Canadiens,Ottawa Senators,4,3,REG
2010020056,20102011,2010-10-16,New Jersey Devils,Boston Bruins,1,4,REG
2010020057,20102011,2010-10-16,New York Islanders,Colorado Avalanche,5,2,REG
2010020059,20102011,2010-10-16,Florida Panthers,Tampa Bay Lightning,6,0,REG
2010020060,20102011,2010-10-16,Nashville Predators,Washington Capitals,2,3,REG
2010020061,20102011,2010-10-16,Minnesota Wild,Columbus Blue Jackets,2,3,REG
2010020062,20102011,2010-10-16,Dallas Stars,St. Louis Blues,3,2,REG
2010020063,20102011,2010-10-16,Chicago Blackhawks,Buffalo Sabres,4,3,REG
2010020064,20102011,2010-10-16,Phoenix Coyotes,Detroit Red Wings,1,2,REG
2010020065,20102011,2010-10-16,Calgary Flames,Edmonton Oilers,5,3,REG
2010020066,20102011,2010-10-16,San Jose Sharks,Atlanta Thrashers,2,4,REG
